;target;fixation_x;entropy_x;fixation_y;entropy_y;difference_entropy
8144;zooming;2.0;0.4636;6.0;5.5587;-5.0951
7804;wafting;2.0;0.5835;6.0;5.673399999999999;-5.089899999999999
6748;soiling;2.0;0.0;6.0;4.980500000000001;-4.980500000000001
8085;yakking;2.0;0.0;6.0;4.972099999999998;-4.972099999999998
5617;pulling;2.0;0.6422;6.0;5.5346;-4.8924
5089;oysters;2.0;0.557;6.0;5.375;-4.818
8;abiding;2.0;0.4715;6.0;5.2835;-4.812
8079;wyoming;2.0;0.0;6.0;4.7217;-4.7217
4108;lemming;2.0;1.0213;6.0;5.7402;-4.7189
7884;wearing;2.0;0.7236999999999998;6.0;5.4057;-4.682
71;adoring;2.0;0.5206000000000001;6.0;5.196300000000001;-4.675700000000001
4826;nearing;2.0;0.5370999999999999;6.0;5.1828;-4.645700000000001
5611;pudding;2.0;0.7030000000000001;6.0;5.3408;-4.6377999999999995
2494;existed;2.0;0.443;6.0;5.0801;-4.6371
7978;wieners;2.0;0.6869;6.0;5.3215;-4.634600000000001
4147;lifting;2.0;1.0448;6.0;5.660300000000001;-4.615500000000001
5009;opening;2.0;0.374;6.0;4.9857;-4.6117
207;amusing;2.0;0.032299999999999995;6.0;4.64;-4.6076999999999995
2997;getting;2.0;0.6938000000000001;6.0;5.2725;-4.5786999999999995
5998;rhyming;2.0;0.4057000000000001;6.0;4.981400000000002;-4.575700000000001
6700;smelled;2.0;0.5456000000000001;6.0;5.1066;-4.561
5689;quoting;2.0;0.3817;6.0;4.9046;-4.5229
4884;nipping;2.0;0.9371999999999998;6.0;5.4582000000000015;-4.521000000000002
2876;funding;2.0;0.6922;6.0;5.2090999999999985;-4.516899999999999
7899;weeping;2.0;0.0924;6.0;4.6004;-4.508
2597;feeding;2.0;0.6658000000000001;6.0;5.1614;-4.4956000000000005
4732;mucking;2.0;0.828;6.0;5.322699999999998;-4.494699999999998
4655;moaning;2.0;0.9298;6.0;5.3942999999999985;-4.464499999999998
6737;soaking;2.0;0.6436999999999999;6.0;5.0989;-4.4552000000000005
5235;peering;2.0;1.2487;6.0;5.697799999999999;-4.4491
5493;pouring;2.0;0.8682000000000001;6.0;5.3043999999999984;-4.436199999999999
5641;pushing;2.0;1.0321000000000002;6.0;5.4605000000000015;-4.428400000000002
7733;vetting;2.0;0.5702999999999999;6.0;4.9427;-4.372400000000001
746;billing;2.0;0.9333000000000004;6.0;5.3020999999999985;-4.3687999999999985
2634;fibbing;2.0;0.5824;6.0;4.95;-4.3676
631;beefing;2.0;1.1829;6.0;5.5495;-4.3666
3761;jeering;2.0;0.7296;6.0;5.0786;-4.349
3008;giggles;2.0;1.5065000000000004;6.0;5.8314;-4.3248999999999995
102;agonies;2.0;0.2811;6.0;4.6041;-4.3229999999999995
7815;walkers;2.0;0.5928;6.0;4.9110000000000005;-4.318200000000001
7613;uniting;2.0;1.1746;6.0;5.4907;-4.3161000000000005
2945;gassing;2.0;0.9419;6.0;5.2384;-4.2965
7399;toiling;2.0;1.2715;6.0;5.5679;-4.2964
4161;limping;2.0;0.5016999999999999;6.0;4.795700000000001;-4.294000000000001
7911;welling;2.0;0.8565999999999999;6.0;5.1043;-4.2477
5413;plowing;2.0;0.8713000000000001;6.0;5.118900000000002;-4.247600000000002
4785;nagging;2.0;1.1951999999999998;6.0;5.4368;-4.2416
6775;sorting;2.0;0.9024;6.0;5.1196;-4.2172
3535;hunters;2.0;1.0407;6.0;5.2524;-4.2116999999999996
3536;hunting;2.0;0.9177;6.0;5.127999999999999;-4.210299999999999
3796;jogging;2.0;1.0422;6.0;5.2443;-4.2021
4565;messing;2.0;1.7123000000000002;6.0;5.9063;-4.194
