lang;fixation;target;trial;read;entropy
en;2;because;0;beca___;-0.000
en;2;because;1;becau__;-0.000
en;2;because;2;_ec_u__;0.123
en;2;because;3;beca___;-0.000
en;2;because;4;be_a___;0.060
en;2;because;5;be__u__;0.034
en;2;because;6;be_au__;-0.000
en;2;because;7;becau__;-0.000
en;2;because;8;_e_a___;1.395
en;2;because;9;bec_u__;-0.000
en;2;nothing;0;no__i__;0.038
en;2;nothing;1;nothi__;-0.000
en;2;nothing;2;_ot____;1.441
en;2;nothing;3;_othi__;-0.000
en;2;nothing;4;_ot____;1.441
en;2;nothing;5;nothi__;-0.000
en;2;nothing;6;no_hi__;-0.000
en;2;nothing;7;_o_____;6.700
en;2;nothing;8;_o_____;6.700
en;2;nothing;9;not_i__;0.004
en;2;thought;0;_h__g__;1.181
en;2;thought;1;_hou___;0.733
en;2;thought;2;tho____;0.031
en;2;thought;3;thou___;-0.000
en;2;thought;4;_h_ug__;-0.000
en;2;thought;5;_hou___;0.733
en;2;thought;6;thou___;-0.000
en;2;thought;7;tho____;0.031
en;2;thought;8;tho____;0.031
en;2;thought;9;tho____;0.031
en;2;believe;0;bel_e__;0.075
en;2;believe;1;_el____;3.419
en;2;believe;2;_elie__;0.146
en;2;believe;3;bel____;0.910
en;2;believe;4;beli___;0.110
en;2;believe;5;belie__;0.075
en;2;believe;6;_eli___;0.803
en;2;believe;7;bel_e__;0.075
en;2;believe;8;bel____;0.910
en;2;believe;9;bel____;0.910
en;2;someone;0;_o_eo__;-0.000
en;2;someone;1;some___;0.635
en;2;someone;2;some___;0.635
en;2;someone;3;_om____;2.771
en;2;someone;4;_om____;2.771
en;2;someone;5;someo__;-0.000
en;2;someone;6;som____;0.657
en;2;someone;7;some___;0.635
en;2;someone;8;som____;0.657
en;2;someone;9;som____;0.657
en;2;through;0;thro___;0.097
en;2;through;1;thr____;0.326
en;2;through;2;_hr____;0.666
en;2;through;3;thro___;0.097
en;2;through;4;thro___;0.097
en;2;through;5;_hr_u__;0.006
en;2;through;6;_hr_u__;0.006
en;2;through;7;thr____;0.326
en;2;through;8;_h_____;5.201
en;2;through;9;_h_o___;0.508
en;2;another;0;anot___;-0.000
en;2;another;1;ano____;0.050
en;2;another;2;anot___;-0.000
en;2;another;3;anoth__;-0.000
en;2;another;4;ano____;0.050
en;2;another;5;_n_t___;1.186
en;2;another;6;an__h__;0.014
en;2;another;7;ano____;0.050
en;2;another;8;ano____;0.050
en;2;another;9;ano____;0.050
en;2;talking;0;talki__;0.008
en;2;talking;1;tal____;0.220
en;2;talking;2;tal____;0.220
en;2;talking;3;_al_i__;1.541
en;2;talking;4;_a_k___;2.651
en;2;talking;5;talk___;0.014
en;2;talking;6;tal____;0.220
en;2;talking;7;ta_ki__;0.015
en;2;talking;8;_al_i__;1.541
en;2;talking;9;tal____;0.220
en;2;getting;0;ge_t___;0.242
en;2;getting;1;ge_____;1.894
en;2;getting;2;gett___;-0.000
en;2;getting;3;getti__;-0.000
en;2;getting;4;ge_____;1.894
en;2;getting;5;get____;0.069
en;2;getting;6;get____;0.069
en;2;getting;7;get_i__;-0.000
en;2;getting;8;getti__;-0.000
en;2;getting;9;_et____;2.770
en;2;looking;0;look___;0.082
en;2;looking;1;_o_____;6.700
en;2;looking;2;loo_i__;0.083
en;2;looking;3;loo____;0.200
en;2;looking;4;look___;0.082
en;2;looking;5;lo_ki__;0.081
en;2;looking;6;looki__;-0.000
en;2;looking;7;loo____;0.200
en;2;looking;8;_oo____;2.569
en;2;looking;9;loo_i__;0.083
en;2;morning;0;mo_____;2.288
en;2;morning;1;morni__;-0.000
en;2;morning;2;mor____;0.411
en;2;morning;3;mo_ni__;0.222
en;2;morning;4;mo_____;2.288
en;2;morning;5;mor____;0.411
en;2;morning;6;morn___;-0.000
en;2;morning;7;mor____;0.411
en;2;morning;8;morni__;-0.000
en;2;morning;9;mor_i__;0.013
en;2;without;0;witho__;-0.000
en;2;without;1;_itho__;-0.000
en;2;without;2;wit_o__;-0.000
en;2;without;3;with___;0.018
en;2;without;4;wit____;0.653
en;2;without;5;_it_o__;0.059
en;2;without;6;with___;0.018
en;2;without;7;wi_ho__;-0.000
en;2;without;8;wi_____;2.405
en;2;without;9;wit____;0.653
en;2;already;0;alrea__;-0.000
en;2;already;1;_lr____;0.856
en;2;already;2;al_e___;0.464
en;2;already;3;_lr_a__;-0.000
en;2;already;4;alre___;-0.000
en;2;already;5;alre___;-0.000
en;2;already;6;_lr_a__;-0.000
en;2;already;7;alre___;-0.000
en;2;already;8;al_____;2.185
en;2;already;9;alrea__;-0.000
en;2;brother;0;broth__;0.096
en;2;brother;1;br__h__;0.198
en;2;brother;2;br_____;2.969
en;2;brother;3;broth__;0.096
en;2;brother;4;_rot___;1.066
en;2;brother;5;_r_____;6.742
en;2;brother;6;broth__;0.096
en;2;brother;7;broth__;0.096
en;2;brother;8;br_t___;0.819
en;2;brother;9;_ro____;4.034
en;2;tonight;0;to_ig__;-0.000
en;2;tonight;1;toni___;-0.000
en;2;tonight;2;_onig__;-0.000
en;2;tonight;3;toni___;-0.000
en;2;tonight;4;ton____;0.114
en;2;tonight;5;ton____;0.114
en;2;tonight;6;ton____;0.114
en;2;tonight;7;_o__g__;0.688
en;2;tonight;8;toni___;-0.000
en;2;tonight;9;ton____;0.114
en;2;problem;0;pro____;3.183
en;2;problem;1;pr__l__;0.058
en;2;problem;2;prob___;0.042
en;2;problem;3;pro____;3.183
en;2;problem;4;pro____;3.183
en;2;problem;5;pr_____;4.366
en;2;problem;6;pr_____;4.366
en;2;problem;7;pro____;3.183
en;2;problem;8;pro_l__;0.023
en;2;problem;9;_r__l__;1.047
en;2;friends;0;_r_e___;2.108
en;2;friends;1;_rie___;0.369
en;2;friends;2;fr_e___;0.885
en;2;friends;3;fr_en__;-0.000
en;2;friends;4;fr_____;2.515
en;2;friends;5;_rie___;0.369
en;2;friends;6;fri_n__;-0.000
en;2;friends;7;_ri____;4.179
en;2;friends;8;frie___;-0.000
en;2;friends;9;_ri____;4.179
en;2;fucking;0;_uck___;0.862
en;2;fucking;1;_uck___;0.862
en;2;fucking;2;fuck___;0.110
en;2;fucking;3;_u_____;6.734
en;2;fucking;4;_uck___;0.862
en;2;fucking;5;fuck___;0.110
en;2;fucking;6;fu_____;1.684
en;2;fucking;7;_u_k___;1.238
en;2;fucking;8;fuc____;0.127
en;2;fucking;9;_uck___;0.862
en;2;working;0;work___;0.554
en;2;working;1;wor_i__;1.105
en;2;working;2;wo_k___;0.554
en;2;working;3;_ork___;0.581
en;2;working;4;work___;0.554
en;2;working;5;_or____;4.099
en;2;working;6;wor____;1.620
en;2;working;7;worki__;-0.000
en;2;working;8;worki__;-0.000
en;2;working;9;work___;0.554
en;2;exactly;0;_xac___;-0.000
en;2;exactly;1;exac___;-0.000
en;2;exactly;2;exa_t__;0.031
en;2;exactly;3;_xa____;0.791
en;2;exactly;4;exa____;0.791
en;2;exactly;5;exa____;0.791
en;2;exactly;6;exac___;-0.000
en;2;exactly;7;exac___;-0.000
en;2;exactly;8;exact__;-0.000
en;2;exactly;9;exac___;-0.000
en;2;minutes;0;min____;0.720
en;2;minutes;1;minu___;-0.000
en;2;minutes;2;_inu___;0.023
en;2;minutes;3;min_t__;0.013
en;2;minutes;4;minu___;-0.000
en;2;minutes;5;minut__;-0.000
en;2;minutes;6;min____;0.720
en;2;minutes;7;minu___;-0.000
en;2;minutes;8;minut__;-0.000
en;2;minutes;9;minu___;-0.000
en;2;waiting;0;_ait___;0.418
en;2;waiting;1;_ai____;3.330
en;2;waiting;2;_ai____;3.330
en;2;waiting;3;_ai____;3.330
en;2;waiting;4;waiti__;-0.000
en;2;waiting;5;wai____;0.397
en;2;waiting;6;wait___;0.067
en;2;waiting;7;wai____;0.397
en;2;waiting;8;wai____;0.397
en;2;waiting;9;wa_t___;1.028
en;2;against;0;ag_i___;0.059
en;2;against;1;ag__n__;-0.000
en;2;against;2;aga____;0.012
en;2;against;3;again__;-0.000
en;2;against;4;aga_n__;-0.000
en;2;against;5;_ga_n__;-0.000
en;2;against;6;ag_in__;-0.000
en;2;against;7;aga____;0.012
en;2;against;8;aga____;0.012
en;2;against;9;aga_n__;-0.000
en;2;married;0;ma_r___;0.454
en;2;married;1;marri__;0.095
en;2;married;2;_arr___;2.406
en;2;married;3;ma_r___;0.454
en;2;married;4;mar____;2.494
en;2;married;5;marri__;0.095
en;2;married;6;mar____;2.494
en;2;married;7;_ar____;5.587
en;2;married;8;ma_r___;0.454
en;2;married;9;mar____;2.494
en;2;husband;0;husb___;-0.000
en;2;husband;1;_us____;3.458
en;2;husband;2;_u_b___;1.778
en;2;husband;3;_us____;3.458
en;2;husband;4;hus____;0.219
en;2;husband;5;hus____;0.219
en;2;husband;6;hus_a__;0.042
en;2;husband;7;_us____;3.458
en;2;husband;8;hus_a__;0.042
en;2;husband;9;_us_a__;0.627
en;2;started;0;sta____;2.974
en;2;started;1;sta____;2.974
en;2;started;2;_ta____;3.127
en;2;started;3;sta____;2.974
en;2;started;4;star___;0.920
en;2;started;5;st_____;4.816
en;2;started;6;sta____;2.974
en;2;started;7;star___;0.920
en;2;started;8;st_____;4.816
en;2;started;9;star___;0.920
en;2;between;0;bet____;0.403
en;2;between;1;betwe__;-0.000
en;2;between;2;bet_e__;0.016
en;2;between;3;betw___;0.014
en;2;between;4;be_w___;0.038
en;2;between;5;_et____;2.770
en;2;between;6;bet____;0.403
en;2;between;7;betw___;0.014
en;2;between;8;bet____;0.403
en;2;between;9;bet____;0.403
en;2;anymore;0;_n_m___;1.229
en;2;anymore;1;any____;1.367
en;2;anymore;2;_ny____;1.367
en;2;anymore;3;any____;1.367
en;2;anymore;4;an_____;2.941
en;2;anymore;5;any____;1.367
en;2;anymore;6;_ny_o__;0.988
en;2;anymore;7;_ny____;1.367
en;2;anymore;8;any____;1.367
en;2;anymore;9;anymo__;-0.000
en;2;trouble;0;_rou___;1.422
en;2;trouble;1;_roub__;-0.000
en;2;trouble;2;tr_u___;0.280
en;2;trouble;3;tr__b__;0.128
en;2;trouble;4;_r_____;6.742
en;2;trouble;5;tro____;0.363
en;2;trouble;6;tro_b__;-0.000
en;2;trouble;7;tro_b__;-0.000
en;2;trouble;8;tro____;0.363
en;2;trouble;9;trou___;0.054
en;2;brought;0;_ro_g__;0.279
en;2;brought;1;brou___;-0.000
en;2;brought;2;bro____;1.152
en;2;brought;3;br__g__;0.454
en;2;brought;4;brou___;-0.000
en;2;brought;5;brou___;-0.000
en;2;brought;6;_rou___;1.422
en;2;brought;7;br_ug__;-0.000
en;2;brought;8;br_u___;-0.000
en;2;brought;9;bro_g__;-0.000
en;2;welcome;0;welco__;-0.000
en;2;welcome;1;welc___;-0.000
en;2;welcome;2;welc___;-0.000
en;2;welcome;3;wel____;0.293
en;2;welcome;4;_elc___;0.074
en;2;welcome;5;welc___;-0.000
en;2;welcome;6;we_c___;0.019
en;2;welcome;7;welc___;-0.000
en;2;welcome;8;welc___;-0.000
en;2;welcome;9;_el____;3.419
en;2;telling;0;_el____;3.419
en;2;telling;1;_ell___;1.818
en;2;telling;2;_ell___;1.818
en;2;telling;3;tell___;0.025
en;2;telling;4;tel____;0.077
en;2;telling;5;tell___;0.025
en;2;telling;6;_ell___;1.818
en;2;telling;7;_ell___;1.818
en;2;telling;8;_e__i__;5.691
en;2;telling;9;te_l___;0.025
en;2;playing;0;pl_____;2.996
en;2;playing;1;_la____;4.559
en;2;playing;2;_lay___;0.845
en;2;playing;3;pl_____;2.996
en;2;playing;4;pla____;2.306
en;2;playing;5;pl_____;2.996
en;2;playing;6;_la____;4.559
en;2;playing;7;pla____;2.306
en;2;playing;8;_layi__;0.044
en;2;playing;9;_lay___;0.845
en;2;captain;0;capta__;-0.000
en;2;captain;1;_a__a__;4.589
en;2;captain;2;ca_t___;1.643
en;2;captain;3;capta__;-0.000
en;2;captain;4;capt___;0.542
en;2;captain;5;ca__a__;0.626
en;2;captain;6;_ap____;2.884
en;2;captain;7;_ap_a__;0.175
en;2;captain;8;ca__a__;0.626
en;2;captain;9;capt___;0.542
en;2;outside;0;out____;1.145
en;2;outside;1;ou_____;1.181
en;2;outside;2;ou__i__;0.271
en;2;outside;3;out____;1.145
en;2;outside;4;_ut____;2.910
en;2;outside;5;out____;1.145
en;2;outside;6;ou__i__;0.271
