;target;fixation_x;entropy_x;fixation_y;entropy_y;difference_entropy;difference_entropy_realfreq
0;aaaaaah;2.0;0.7585;6.0;0.6357999999999999;0.12270000000000003;1.3859
1;aaaargh;2.0;2.0199;6.0;0.3585;1.6613999999999998;0.3567
2;aaliyah;2.0;0.9794;6.0;1.0492;-0.06979999999999986;-0.5683999999999999
3;abaddon;2.0;1.0925;6.0;2.6179;-1.5254;-0.6473
4;abalone;2.0;1.0755;6.0;2.4989;-1.4234;-1.2523
5;abandon;2.0;0.8524;6.0;4.5524;-3.6999999999999993;-1.8526000000000005
6;abdomen;2.0;0.41700000000000004;6.0;1.4991;-1.0821;-0.9452
7;abetted;2.0;0.4524;6.0;4.0504;-3.598;-1.2567000000000002
8;abiding;2.0;1.3524;6.0;6.289600000000001;-4.937200000000001;-4.812
9;abigail;2.0;1.6633;6.0;2.0515;-0.3881999999999999;-0.5415
10;abilene;2.0;1.6;6.0;3.5805;-1.9804999999999997;-0.9699000000000002
11;ability;2.0;1.4644;6.0;3.2157000000000004;-1.7513000000000005;-1.3719000000000001
12;abolish;2.0;0.8109;6.0;4.4022000000000014;-3.5913000000000013;-0.9922
13;aborted;2.0;0.3;6.0;5.916600000000002;-5.616600000000002;-3.3228
14;abraham;2.0;1.034;6.0;3.4802;-2.4462;-1.5854999999999997
15;abreast;2.0;1.6218;6.0;3.3511;-1.7293000000000003;-0.8719000000000001
16;abruzzi;2.0;0.8524;6.0;1.1606999999999998;-0.3082999999999998;-0.11870000000000008
17;abscess;2.0;1.5277;6.0;3.1079;-1.5801999999999998;-1.5540000000000003
18;absence;2.0;1.4136000000000002;6.0;3.7246;-2.311;-1.0086000000000004
19;absolve;2.0;0.9907;6.0;2.2492;-1.2585000000000002;-0.5406
20;absorbs;2.0;1.5076999999999998;6.0;0.5;1.0076999999999998;0.9067
21;abstain;2.0;1.4076999999999995;6.0;3.3259;-1.9182000000000003;-0.3831
22;abusers;2.0;1.9912000000000003;6.0;4.4398;-2.4486;-1.7889000000000006
23;abusing;2.0;1.8186000000000004;6.0;7.2506;-5.432;-2.3909
24;abusive;2.0;2.2526;6.0;2.7046;-0.45199999999999996;-0.30230000000000024
25;abysmal;2.0;0.9524;6.0;2.6854;-1.733;-0.7655000000000001
26;academy;2.0;1.3618;6.0;1.4005;-0.03870000000000018;-0.29339999999999994
27;accents;2.0;2.68;6.0;4.0817000000000005;-1.4017000000000004;-0.19619999999999993
28;accepts;2.0;1.5;6.0;0.951;0.549;0.2455999999999997
29;acclaim;2.0;1.5985;6.0;3.0847000000000007;-1.4862000000000006;-1.5377999999999998
30;accords;2.0;2.354;6.0;2.5032000000000005;-0.14920000000000044;0.14969999999999994
31;account;2.0;2.8685;6.0;1.6725;1.196;0.19730000000000003
32;accused;2.0;2.1795;6.0;5.1696;-2.9901;-3.0164999999999997
33;accuser;2.0;2.7439999999999998;6.0;3.2387;-0.49470000000000036;-3.0396
34;accuses;2.0;2.7762;6.0;3.5503;-0.7741000000000002;-2.4770000000000003
35;acetate;2.0;2.1455;6.0;3.4542;-1.3087;-0.5577000000000001
36;acetone;2.0;1.8629;6.0;3.1393;-1.2764;0.7481999999999999
37;aceveda;2.0;1.9488;6.0;1.4809;0.4679;0.3070999999999996
38;acharya;2.0;1.6044;6.0;0.4;1.2044000000000001;1.1308000000000002
39;achieve;2.0;2.427;6.0;1.5182000000000002;0.9087999999999998;-0.17490000000000003
40;achille;2.0;1.6044;6.0;4.477300000000001;-2.8729000000000013;-1.6709999999999998
41;achtung;2.0;2.6439;6.0;4.0122;-1.3683;-0.13900000000000023
42;acidity;2.0;0.77;6.0;2.1217;-1.3517000000000001;-0.7663
43;ackroyd;2.0;0.2;6.0;0.5882999999999999;-0.3882999999999999;1.1743
44;acquire;2.0;1.6892;6.0;3.5754;-1.8862;-2.4656999999999987
45;acreage;2.0;1.9432;6.0;2.3464;-0.4032;-0.5261000000000002
46;acrobat;2.0;1.9644;6.0;1.5358;0.42859999999999987;0.24380000000000002
47;acronym;2.0;1.94;6.0;0.1585;1.7814999999999999;1.4868
