;target;fixation_x;entropy_x;fixation_y;entropy_y;difference_entropy
4811;צימוקים;2.0;0.2499;6.0;6.7498999999999985;-6.499999999999998
1266;החתולים;2.0;1.3100999999999998;6.0;7.768300000000001;-6.4582000000000015
531;בניינים;2.0;1.1505;6.0;7.5611000000000015;-6.410600000000001
768;געגועים;2.0;0.2111;6.0;6.426899999999999;-6.215799999999999
2860;טמפונים;2.0;1.0590000000000002;6.0;7.2664;-6.2074
1188;הזעירים;2.0;0.07170000000000001;6.0;6.2617;-6.19
4530;נטלמנים;2.0;0.2631;6.0;6.4209999999999985;-6.157899999999999
997;הברברים;2.0;0.4314;6.0;6.5693;-6.1379
2941;כפתורים;2.0;0.3672;6.0;6.4903;-6.1231
989;הבכירים;2.0;0.3304;6.0;6.4282;-6.0978
2943;כרטיסים;2.0;0.2682;6.0;6.289300000000001;-6.021100000000001
5239;שיפורים;2.0;2.1006;6.0;8.0855;-5.9849
759;גיבורים;2.0;0.26880000000000004;6.0;6.223699999999999;-5.954899999999999
3031;לאזורים;2.0;0.7744000000000002;6.0;6.7102;-5.9358
128;אכפתיות;2.0;0.16909999999999994;6.0;6.071000000000001;-5.9019
1262;החשיבות;2.0;0.6220000000000001;6.0;6.513;-5.891
3549;מאומנים;2.0;1.6953;6.0;7.558400000000002;-5.863100000000001
2166;הרטובים;2.0;0.1256;6.0;5.9885;-5.8629
3950;מטאורים;2.0;0.5349999999999999;6.0;6.303999999999999;-5.768999999999999
5276;שמאליות;2.0;0.7848;6.0;6.538300000000001;-5.753500000000002
3439;לעשירים;2.0;0.3914;6.0;6.1336;-5.7422
1931;העסקיים;2.0;1.5668;6.0;7.3081;-5.7413
3623;מגדירים;2.0;1.1046;6.0;6.8424999999999985;-5.737899999999998
4012;מכדורים;2.0;0.2263;6.0;5.9276;-5.7013
1245;החנונים;2.0;1.3295;6.0;6.906699999999999;-5.5771999999999995
4816;צלצולים;2.0;0.0982;6.0;5.666;-5.5678
4175;מענישים;2.0;0.9802;6.0;6.527699999999999;-5.547499999999999
3514;לשטויות;2.0;0.6278;6.0;6.167299999999999;-5.539499999999999
3097;לדבורים;2.0;0.6654;6.0;6.1783;-5.5129
3266;לטביעות;2.0;0.20780000000000004;6.0;5.717199999999999;-5.509399999999999
537;בנעליים;2.0;0.1043;6.0;5.5986;-5.4943
5507;תכנונים;2.0;0.6125;6.0;6.0614;-5.4489
539;בנתונים;2.0;1.3624999999999998;6.0;6.8027;-5.4402
5480;תוכניות;2.0;1.0596;6.0;6.478399999999999;-5.418799999999999
3949;מחשיבים;2.0;1.2453999999999998;6.0;6.651599999999998;-5.406199999999998
1185;הזכויות;2.0;0.9045;6.0;6.294499999999998;-5.389999999999999
4691;עפרונות;2.0;0.0;6.0;5.3595;-5.3595
713;בשפתיים;2.0;0.35910000000000003;6.0;5.6892999999999985;-5.330199999999999
4633;סנטורים;2.0;1.3897999999999997;6.0;6.713999999999999;-5.324199999999999
3060;לאסירים;2.0;0.4563;6.0;5.7762;-5.3199000000000005
3258;לחלונות;2.0;0.2143;6.0;5.5154000000000005;-5.301100000000001
2786;חולניים;2.0;1.091;6.0;6.3789;-5.2879
4898;קניונים;2.0;0.2;6.0;5.4674;-5.267399999999999
1007;הבתולים;2.0;1.8088000000000004;6.0;7.073400000000001;-5.264600000000001
4047;מלשינים;2.0;0.0;6.0;5.2556;-5.2556
5494;תחרויות;2.0;1.1296;6.0;6.3817;-5.2521
2526;והגברים;2.0;0.6253;6.0;5.8695;-5.2442
819;דרקונים;2.0;0.3023;6.0;5.5451;-5.2428
3948;מחרתיים;2.0;1.4741;6.0;6.7120000000000015;-5.2379000000000016
1085;ההדורים;2.0;0.6591;6.0;5.879199999999999;-5.220099999999999
5530;תצלומים;2.0;0.28579999999999994;6.0;5.489299999999999;-5.203499999999999
4776;פעמונים;2.0;0.239;6.0;5.433;-5.194
646;ברבורים;2.0;0.7502000000000001;6.0;5.9308999999999985;-5.180699999999998
4;אביזרים;2.0;0.1942;6.0;5.370199999999999;-5.175999999999998
4575;סוודרים;2.0;1.1059;6.0;6.2668;-5.1609
3530;לתיירים;2.0;1.4626;6.0;6.6221000000000005;-5.1595
4148;מעבירים;2.0;1.4352;6.0;6.5901;-5.1549
4373;משתגעים;2.0;0.6172000000000001;6.0;5.7714;-5.1541999999999994
2876;ידוענים;2.0;0.2784;6.0;5.4324;-5.154
7;אגודלים;2.0;0.1765;6.0;5.325;-5.1485
5542;תרמילים;2.0;0.9222;6.0;6.062100000000001;-5.139900000000001
5188;שחוזרים;2.0;0.9679;6.0;6.107;-5.1391
5476;תבלינים;2.0;0.2724;6.0;5.3943;-5.1219
3901;מזהירים;2.0;0.868;6.0;5.9899;-5.121899999999999
3080;לבנתיים;2.0;0.0;6.0;5.0964;-5.0964
4622;סיפורים;2.0;1.0882999999999998;6.0;6.1638;-5.0755
1368;היתושים;2.0;0.9791999999999998;6.0;6.049499999999999;-5.0703
3924;מחוברים;2.0;1.3652000000000002;6.0;6.4331000000000005;-5.0679
523;בנדיבות;2.0;0.5666;6.0;5.6317;-5.0651
1078;ההאקרים;2.0;0.6445;6.0;5.7046;-5.0601
3071;לבוטנים;2.0;1.1745;6.0;6.2250000000000005;-5.0505
429;בכתפיים;2.0;0.2267;6.0;5.2538;-5.0271
2930;כלבלבים;2.0;0.0;6.0;5.024300000000001;-5.024300000000001
4286;מקשיבים;2.0;0.4564;6.0;5.4803000000000015;-5.023900000000001
2596;וותיקים;2.0;1.368;6.0;6.3901;-5.0221
4025;מכחישים;2.0;0.5593;6.0;5.5741;-5.014799999999999
3622;מגבונים;2.0;1.0221;6.0;6.019;-4.9969
129;אלבומים;2.0;1.0208;6.0;6.0143;-4.993500000000001
4653;סרדינים;2.0;0.3158;6.0;5.308100000000001;-4.992300000000001
678;ברציפות;2.0;0.5673999999999999;6.0;5.5592;-4.9918
275;בבחירות;2.0;1.4419;6.0;6.4275;-4.9856
137;אלמוגים;2.0;0.8814;6.0;5.8554;-4.974
3591;מאתגרים;2.0;0.836;6.0;5.8099;-4.9738999999999995
3405;לנתונים;2.0;0.5643;6.0;5.5364;-4.9721
1361;היריבים;2.0;1.0277999999999998;6.0;5.969099999999999;-4.941299999999999
3900;מזדקנים;2.0;0.7919;6.0;5.7284;-4.9365
4792;פרסומות;2.0;0.2953;6.0;5.216199999999999;-4.920899999999999
3261;לחנויות;2.0;0.5843999999999999;6.0;5.501899999999999;-4.9174999999999995
804;דימומים;2.0;1.5146000000000002;6.0;6.431;-4.916399999999999
4983;שאליסון;2.0;0.037799999999999986;6.0;4.953799999999998;-4.915999999999999
1895;העוברים;2.0;1.3733;6.0;6.2836;-4.910299999999999
2739;ורגליים;2.0;0.4506;6.0;5.3598;-4.9092
5043;שההורים;2.0;0.5883999999999998;6.0;5.4940000000000015;-4.9056000000000015
1010;הגאונים;2.0;1.2577000000000005;6.0;6.1602;-4.902499999999999
72;אזרחיות;2.0;0.9800000000000002;6.0;5.8781;-4.8980999999999995
5509;תכשיטים;2.0;0.8029999999999999;6.0;5.6986;-4.8956
5190;שחושבים;2.0;0.359;6.0;5.2489;-4.8899
2929;כישורים;2.0;1.1236000000000002;6.0;5.9947;-4.8711
2250;השפתיים;2.0;1.5344;6.0;6.404399999999997;-4.869999999999997
2902;יפהפיים;2.0;1.5757;6.0;6.4445;-4.868799999999999
3056;לאנושות;2.0;1.8079;6.0;6.672500000000001;-4.864600000000001
1339;הימורים;2.0;1.9238;6.0;6.781700000000002;-4.857900000000002
4806;צחקוקים;2.0;0.8809999999999999;6.0;5.7388;-4.8578
4032;מכשירים;2.0;1.0676;6.0;5.9245;-4.8568999999999996
2514;וגרמניה;2.0;0.13119999999999998;6.0;4.9739;-4.842700000000001
3973;מיומנים;2.0;1.8806;6.0;6.722;-4.8414
298;בדחיפות;2.0;0.4276;6.0;5.2624;-4.8348
1402;הכרחיים;2.0;1.0394;6.0;5.8708;-4.8314
2733;ועיניים;2.0;0.5362;6.0;5.3672;-4.831
962;הבהונות;2.0;0.7785;6.0;5.609399999999999;-4.830899999999999
4885;קלוריות;2.0;0.2092;6.0;5.0397;-4.8305
1346;היעדרות;2.0;0.8212999999999999;6.0;5.646399999999999;-4.825099999999999
1888;העגילים;2.0;1.3266000000000002;6.0;6.147400000000001;-4.820800000000001
2062;הקבועים;2.0;1.4451;6.0;6.2622;-4.8171
1174;הזהויות;2.0;0.6496999999999999;6.0;5.462999999999999;-4.813299999999999
1050;הדאלקים;2.0;0.0951;6.0;4.9069;-4.8118
618;בצפיפות;2.0;0.6003000000000001;6.0;5.4056000000000015;-4.805300000000002
4692;עצבניות;2.0;0.7440000000000001;6.0;5.548099999999998;-4.804099999999998
4660;עגבניות;2.0;0.5679999999999998;6.0;5.3618;-4.7938
5373;שעוזרים;2.0;0.8581999999999999;6.0;5.647499999999999;-4.789299999999999
2832;חשפניות;2.0;0.4501000000000001;6.0;5.238;-4.7879000000000005
3840;מוכרחים;2.0;1.4987;6.0;6.285500000000001;-4.786800000000001
4141;מסתכנים;2.0;1.1456;6.0;5.9215;-4.7759
3252;לחומרים;2.0;0.7433;6.0;5.5096;-4.7663
3254;לחזירים;2.0;0.6929000000000001;6.0;5.456099999999998;-4.7631999999999985
1060;הדחיפות;2.0;1.0006000000000002;6.0;5.7615;-4.7608999999999995
2539;והטובים;2.0;0.5718;6.0;5.329199999999998;-4.757399999999999
4293;מרהיבים;2.0;1.1266000000000005;6.0;5.8792;-4.752599999999999
1845;הסיורים;2.0;1.9562;6.0;6.705999999999999;-4.749799999999999
4218;מפתיעים;2.0;0.7212999999999999;6.0;5.470699999999999;-4.749399999999999
94;איחולים;2.0;1.0864000000000005;6.0;5.834000000000001;-4.747600000000001
79;אחראיים;2.0;1.8066;6.0;6.5531000000000015;-4.746500000000001
604;בפרברים;2.0;1.7756;6.0;6.5204;-4.744800000000001
4685;עלבונות;2.0;0.2922;6.0;5.0364;-4.7442
4039;מלחיצים;2.0;0.4402;6.0;5.1837;-4.7435
2528;וההורים;2.0;1.3694;6.0;6.1089;-4.7395000000000005
4668;עיטורים;2.0;1.5847000000000002;6.0;6.3218;-4.7371
4654;סרטונים;2.0;0.2545;6.0;4.986599999999998;-4.732099999999998
3352;לממונים;2.0;1.4073;6.0;6.138299999999999;-4.730999999999999
3248;לזרועות;2.0;0.4027;6.0;5.129099999999998;-4.726399999999998
704;בשכונות;2.0;1.1563;6.0;5.8776;-4.7213
2923;כידידים;2.0;0.7335;6.0;5.447399999999999;-4.713899999999999
990;הבלונים;2.0;1.4117;6.0;6.125099999999999;-4.713399999999999
4667;עיוורים;2.0;1.8595;6.0;6.569;-4.7095
601;בפעילות;2.0;1.3867999999999998;6.0;6.0920999999999985;-4.7052999999999985
5232;שינויים;2.0;0.5355000000000001;6.0;5.2330000000000005;-4.697500000000001
3502;לשוטרים;2.0;1.1488;6.0;5.844799999999998;-4.695999999999998
5285;שמדברים;2.0;0.2476;6.0;4.943199999999999;-4.695599999999999
5042;שהדברים;2.0;1.7601;6.0;6.4482;-4.6881
3132;להמונים;2.0;1.2665;6.0;5.9471;-4.6806
4240;מציירים;2.0;1.7143000000000002;6.0;6.390400000000001;-4.676100000000002
1373;הכובעים;2.0;0.8708;6.0;5.5360000000000005;-4.6652000000000005
3952;מטבחיים;2.0;0.4024;6.0;5.0516999999999985;-4.649299999999998
5186;שזקוקים;2.0;0.3724;6.0;5.009600000000002;-4.637200000000002
2035;הצחוקים;2.0;0.8737999999999999;6.0;5.510199999999998;-4.636399999999998
969;הבוטנים;2.0;1.5827;6.0;6.2189;-4.6362
5003;שבלולים;2.0;0.5525;6.0;5.1835;-4.631
5374;שעומדים;2.0;1.1794;6.0;5.8087;-4.6293
3652;מדיניות;2.0;1.0333;6.0;5.659999999999998;-4.626699999999998
4591;סטייקים;2.0;1.38;6.0;5.9948000000000015;-4.614800000000002
818;דרכונים;2.0;0.3725;6.0;4.9811;-4.6086
2601;וחלומות;2.0;0.5305;6.0;5.1335;-4.603
679;ברציפים;2.0;0.7425;6.0;5.3408;-4.5983
2897;יסודיים;2.0;1.0487;6.0;5.6417;-4.593
2129;הקשוחים;2.0;1.2409;6.0;5.8319;-4.591
3495;לרסיסים;2.0;0.158;6.0;4.7478;-4.589799999999999
4023;מכוערים;2.0;1.6496;6.0;6.2314;-4.581799999999999
2403;התנינים;2.0;0.6052000000000001;6.0;5.1859;-4.5807
2826;חרחורים;2.0;0.20590000000000006;6.0;4.7841999999999985;-4.578299999999999
3010;כשרונות;2.0;0.8941000000000001;6.0;5.472100000000001;-4.578000000000001
1408;הלהיטים;2.0;0.2193;6.0;4.796;-4.576700000000001
4122;מסלולים;2.0;2.0803000000000003;6.0;6.6560000000000015;-4.575700000000001
3977;מיותרות;2.0;1.8047;6.0;6.3798;-4.575100000000001
1062;הדיונים;2.0;1.4021999999999997;6.0;5.9757;-4.5735
5471;תאגידים;2.0;0.4264;6.0;4.9987;-4.5723
3465;לצהריים;2.0;0.4207;6.0;4.9928;-4.5721
2113;הקרביים;2.0;1.2756;6.0;5.8416000000000015;-4.566000000000002
1424;הלפידים;2.0;0.5609999999999999;6.0;5.1259;-4.5649
1212;החומרים;2.0;0.8544;6.0;5.416200000000001;-4.561800000000001
2859;טלפונים;2.0;0.4463;6.0;5.0078;-4.5615
4899;קעקועים;2.0;0.13740000000000002;6.0;4.6930999999999985;-4.555699999999998
3913;מזיינים;2.0;0.5398000000000001;6.0;5.092600000000001;-4.552800000000001
5364;שסובלים;2.0;0.6207;6.0;5.166600000000002;-4.545900000000001
5521;תעלולים;2.0;0.9818;6.0;5.5265;-4.544700000000001
5235;שיעורים;2.0;1.5489000000000002;6.0;6.0920999999999985;-4.543199999999999
5404;שקרניות;2.0;0.9054;6.0;5.446299999999999;-4.540899999999999
498;במציאות;2.0;0.6088;6.0;5.1415;-4.5327
2772;זכרונות;2.0;0.6201000000000001;6.0;5.1495;-4.5294
563;בעדינות;2.0;1.0321;6.0;5.555300000000001;-4.523200000000001
81;אחרונים;2.0;1.8253000000000004;6.0;6.3483;-4.523
4802;צבעונים;2.0;1.419;6.0;5.936499999999999;-4.517499999999998
4662;עדכונים;2.0;0.0;6.0;4.5166;-4.5166
871;האחריות;2.0;1.1173;6.0;5.6331000000000016;-4.515800000000001
446;במגורים;2.0;1.8266999999999995;6.0;6.340999999999998;-4.514299999999999
2221;השטויות;2.0;1.1384;6.0;5.649000000000001;-4.510600000000001
4127;מסרונים;2.0;1.4635000000000002;6.0;5.9708;-4.507299999999999
199;ארגונים;2.0;1.2593;6.0;5.7612;-4.501899999999999
4808;ציטוטים;2.0;0.2499;6.0;4.751199999999999;-4.501299999999999
2311;התוויות;2.0;1.0628;6.0;5.5637;-4.5009
3915;מזכירות;2.0;1.7441;6.0;6.2428;-4.4986999999999995
4212;מפציצים;2.0;0.2418;6.0;4.7379;-4.4961
2597;וחוזרים;2.0;0.9817999999999998;6.0;5.4716999999999985;-4.489899999999999
1294;הטעויות;2.0;1.3093;6.0;5.7984;-4.4891000000000005
4179;מעצורים;2.0;1.1159;6.0;5.6035;-4.4876000000000005
2918;כדוריות;2.0;0.8253999999999999;6.0;5.3123000000000005;-4.4869
4719;פוסטרים;2.0;1.4502000000000002;6.0;5.937099999999999;-4.486899999999999
1376;הכוכבים;2.0;0.9097;6.0;5.3961000000000015;-4.4864000000000015
1423;הלסביות;2.0;0.1947;6.0;4.6789999999999985;-4.484299999999998
1001;הבריטים;2.0;1.7124;6.0;6.1963;-4.4839
3302;לכדורים;2.0;1.2818999999999998;6.0;5.7594;-4.477500000000001
2709;ומקבלים;2.0;0.9492;6.0;5.4174000000000015;-4.468200000000001
1182;הזיונים;2.0;0.6740999999999999;6.0;5.1421;-4.468
448;במגפיים;2.0;0.8015000000000001;6.0;5.266;-4.4645
3903;מזוודות;2.0;0.8374;6.0;5.3015;-4.4641
4256;מקוונים;2.0;1.5833000000000002;6.0;6.0455999999999985;-4.462299999999998
4534;ניחומים;2.0;0.7057;6.0;5.1675;-4.4618
2258;השרירים;2.0;2.2994;6.0;6.7602;-4.460800000000001
1235;החליפות;2.0;2.0605;6.0;6.5184;-4.4578999999999995
3620;מבריקים;2.0;1.4768;6.0;5.9292;-4.4524
4044;מלצריות;2.0;0.6344000000000001;6.0;5.0844000000000005;-4.45
3263;לחקירות;2.0;0.2936;6.0;4.7378;-4.4442
4701;ערבויות;2.0;0.7261;6.0;5.1666;-4.4405
715;בשרירים;2.0;1.0654;6.0;5.504099999999998;-4.438699999999999
1889;העדויות;2.0;0.4924;6.0;4.9218;-4.4294
147;אמיתיות;2.0;1.3081999999999998;6.0;5.7352;-4.427
4199;מפחידות;2.0;1.1284;6.0;5.5548;-4.4264
403;ביצועים;2.0;1.3402;6.0;5.7665;-4.4262999999999995
2856;טכניקות;2.0;0.4423;6.0;4.8667;-4.4243999999999994
4174;מעניקים;2.0;0.9793;6.0;5.396600000000001;-4.417300000000001
5318;שמשקרים;2.0;0.8251;6.0;5.242199999999999;-4.417099999999999
4968;רשיונות;2.0;0.7228;6.0;5.1392000000000015;-4.416400000000001
4176;מעסיקים;2.0;0.7045999999999999;6.0;5.1178;-4.4132
2181;הרצועות;2.0;0.6169;6.0;5.0297;-4.4128
928;האפורים;2.0;1.2951;6.0;5.7078;-4.4127
1472;המהגרים;2.0;1.0368;6.0;5.4479999999999995;-4.411199999999999
4027;מכנסיים;2.0;0.9078;6.0;5.3166;-4.4088
2900;יפהפיות;2.0;1.3797;6.0;5.783099999999999;-4.4033999999999995
3590;מאשימים;2.0;0.8902000000000001;6.0;5.2876;-4.3974
4068;ממרחקים;2.0;0.7035;6.0;5.100600000000001;-4.397100000000001
3945;מחסומים;2.0;0.3933;6.0;4.7901;-4.3968
4288;מרביצים;2.0;0.9408;6.0;5.3361;-4.3953
3654;מדליקים;2.0;0.4232;6.0;4.8121;-4.3889
3084;לגבולות;2.0;0.4707;6.0;4.845299999999999;-4.374599999999999
1922;העלונים;2.0;1.5396;6.0;5.913399999999998;-4.373799999999998
3082;לברכיים;2.0;0.6317;6.0;5.0032000000000005;-4.3715
3503;לשוליים;2.0;1.3137;6.0;5.6823;-4.3686
3333;למורדים;2.0;1.4697;6.0;5.8373;-4.3675999999999995
