;target;fixation_x;entropy_x;fixation_y;entropy_y;difference_entropy
604;בפרברים;2.0;0.7755;6.0;8.2942;-7.5187
2528;וההורים;2.0;1.0417999999999998;6.0;8.381499999999999;-7.339699999999999
819;דרקונים;2.0;0.2585;6.0;7.432999999999998;-7.174499999999998
3530;לתיירים;2.0;0.8044;6.0;7.8062999999999985;-7.001899999999998
2826;חרחורים;2.0;0.6066;6.0;7.5493;-6.942699999999999
4122;מסלולים;2.0;1.5585;6.0;8.455499999999999;-6.8969999999999985
5198;שחשובים;2.0;1.0199;6.0;7.812400000000001;-6.792500000000001
1190;הזריקות;2.0;0.2585;6.0;7.046199999999999;-6.787699999999999
3469;לצעירים;2.0;0.4755;6.0;7.202000000000001;-6.726500000000001
3654;מדליקים;2.0;0.0;6.0;6.723700000000001;-6.723700000000001
4343;משכילים;2.0;1.2022;6.0;7.8864;-6.684200000000001
1085;ההדורים;2.0;1.0154999999999998;6.0;7.694;-6.6785
2602;וחמישים;2.0;1.3006;6.0;7.942;-6.6414
5003;שבלולים;2.0;0.6807000000000001;6.0;7.270799999999999;-6.590099999999999
4569;סגנונות;2.0;0.6658;6.0;7.2102;-6.5444
4012;מכדורים;2.0;1.5562;6.0;8.081;-6.524799999999999
539;בנתונים;2.0;0.5755;6.0;7.0985;-6.523
4088;מנטליות;2.0;0.4;6.0;6.9017;-6.5017
2752;ותמונות;2.0;0.9392;6.0;7.439300000000001;-6.5001000000000015
4727;פטפוטים;2.0;0.5322;6.0;7.0184;-6.4862
715;בשרירים;2.0;0.7585;6.0;7.209199999999997;-6.450699999999998
4967;רקדניות;2.0;0.0;6.0;6.4281000000000015;-6.4281000000000015
2106;הקסומים;2.0;1.2106;6.0;7.6141999999999985;-6.403599999999999
2859;טלפונים;2.0;1.0369;6.0;7.404700000000001;-6.367800000000001
2494;וארבעים;2.0;0.5208999999999999;6.0;6.8786000000000005;-6.3577
5505;תיקונים;2.0;0.3322;6.0;6.6673;-6.3351
2911;ישנונית;2.0;0.5044;6.0;6.8333;-6.328900000000001
4775;פעלולים;2.0;0.5807;6.0;6.8798;-6.2991
4700;עקרונות;2.0;0.5;6.0;6.784199999999999;-6.284199999999999
818;דרכונים;2.0;1.2651;6.0;7.537499999999999;-6.272399999999999
3432;לעיניים;2.0;0.5322;6.0;6.7861;-6.2539
5042;שהדברים;2.0;1.1462;6.0;7.3334;-6.1872
293;בגרביים;2.0;0.1585;6.0;6.325100000000001;-6.166600000000001
5408;שרוולים;2.0;1.4562000000000002;6.0;7.6021;-6.1459
3080;לבנתיים;2.0;0.1;6.0;6.202400000000001;-6.102400000000001
2815;חלבונים;2.0;0.8170000000000001;6.0;6.9087999999999985;-6.091799999999998
3261;לחנויות;2.0;0.8321999999999999;6.0;6.9214;-6.0892
2603;וחתולים;2.0;0.6977;6.0;6.7826;-6.0849
143;אלרגיות;2.0;0.1;6.0;6.1829;-6.0829
811;דמדומים;2.0;0.4585;6.0;6.534000000000002;-6.075500000000002
4557;נצחונות;2.0;0.0;6.0;6.074;-6.074
822;האבידות;2.0;1.4170000000000005;6.0;7.4465;-6.0295
3948;מחרתיים;2.0;1.1229;6.0;7.1512;-6.0283
2739;ורגליים;2.0;0.8492000000000001;6.0;6.8768;-6.0276000000000005
2835;טבעונית;2.0;0.4585;6.0;6.4766;-6.0181000000000004
612;בציורים;2.0;1.7344000000000002;6.0;7.736700000000001;-6.002300000000001
4256;מקוונים;2.0;1.5335;6.0;7.533499999999999;-5.999999999999999
3917;מזמינים;2.0;0.37;6.0;6.3551;-5.9851
2691;ומהירות;2.0;1.3257;6.0;7.310400000000001;-5.984700000000001
3524;לשפתיים;2.0;0.9455;6.0;6.9301;-5.9846
5235;שיעורים;2.0;1.0925;6.0;7.0569000000000015;-5.964400000000001
3617;מבלבלים;2.0;0.3;6.0;6.2624;-5.962400000000001
3258;לחלונות;2.0;2.1909;6.0;8.134;-5.9431
129;אלבומים;2.0;1.3621;6.0;7.3008000000000015;-5.938700000000002
5508;תכסיסים;2.0;0.2585;6.0;6.192400000000001;-5.933900000000001
333;בזהירות;2.0;0.917;6.0;6.8508999999999975;-5.933899999999998
3082;לברכיים;2.0;0.8170000000000001;6.0;6.744;-5.927
5496;תחתונים;2.0;1.6047;6.0;7.5269;-5.9222
4176;מעסיקים;2.0;0.6322;6.0;6.549000000000001;-5.916800000000001
1042;הגרביים;2.0;0.917;6.0;6.823100000000001;-5.906100000000001
4629;סמכויות;2.0;0.47;6.0;6.3578;-5.8878
4912;קריירות;2.0;0.634;6.0;6.512400000000001;-5.878400000000001
2882;יהלומים;2.0;0.914;6.0;6.789200000000001;-5.875200000000001
2526;והגברים;2.0;0.7755;6.0;6.643599999999998;-5.868099999999998
2918;כדוריות;2.0;0.1;6.0;5.9596;-5.8596
1182;הזיונים;2.0;0.7585;6.0;6.614099999999999;-5.855599999999999
4654;סרטונים;2.0;0.7562;6.0;6.606;-5.8498
1266;החתולים;2.0;2.0193000000000003;6.0;7.8573;-5.838
1847;הסימנים;2.0;1.9746;6.0;7.812599999999999;-5.837999999999999
997;הברברים;2.0;0.9672;6.0;6.802999999999999;-5.835799999999999
2596;וותיקים;2.0;0.5;6.0;6.309800000000001;-5.809800000000001
4041;מליונים;2.0;0.4;6.0;6.1987000000000005;-5.7987
4755;פליירים;2.0;1.3510000000000002;6.0;7.135900000000001;-5.784900000000001
4690;עסיסיים;2.0;0.1585;6.0;5.9323000000000015;-5.773800000000001
5186;שזקוקים;2.0;0.0;6.0;5.7702;-5.7702
199;ארגונים;2.0;1.5661999999999998;6.0;7.335299999999998;-5.769099999999998
4308;מרכיבים;2.0;1.8288;6.0;7.5977000000000015;-5.768900000000001
3502;לשוטרים;2.0;0.934;6.0;6.6977;-5.7637
4668;עיטורים;2.0;1.0818;6.0;6.8264;-5.744599999999999
411;בכדורים;2.0;2.0242000000000004;6.0;7.768300000000001;-5.7441
1660;המפעלים;2.0;0.8841999999999999;6.0;6.623400000000001;-5.739200000000001
3633;מגנטיים;2.0;1.4136;6.0;7.1472;-5.7336
4010;מיתוסים;2.0;0.8629;6.0;6.596300000000001;-5.733400000000001
4003;מינרלים;2.0;0.9833000000000002;6.0;6.714999999999999;-5.731699999999999
2193;השאריות;2.0;0.7087;6.0;6.4384;-5.729699999999999
4816;צלצולים;2.0;0.2585;6.0;5.9678;-5.709300000000001
5357;שנקראים;2.0;0.5357999999999999;6.0;6.2342;-5.6984
4898;קניונים;2.0;0.6209;6.0;6.3148;-5.6939
401;בינתיים;2.0;1.0003;6.0;6.6938;-5.6935
2011;הפריקים;2.0;0.6628999999999999;6.0;6.355;-5.692100000000001
3604;מבושלים;2.0;2.2462;6.0;7.9322;-5.686
3405;לנתונים;2.0;0.4585;6.0;6.1251;-5.6666
3686;מההורים;2.0;1.4340000000000002;6.0;7.093700000000001;-5.659700000000001
3950;מטאורים;2.0;0.9408999999999998;6.0;6.5952;-5.6543
5530;תצלומים;2.0;0.0;6.0;5.651300000000001;-5.651300000000001
4434;מתחננים;2.0;1.1229;6.0;6.773700000000002;-5.650800000000002
3514;לשטויות;2.0;1.3225;6.0;6.9598;-5.637300000000001
3596;מבוטלים;2.0;1.2307;6.0;6.8666;-5.6359
5199;שטוענים;2.0;0.4;6.0;6.0348;-5.634799999999999
1176;הזוגיות;2.0;1.7632;6.0;7.3941;-5.6309
4959;רעיונות;2.0;0.0;6.0;5.624;-5.624
4899;קעקועים;2.0;0.0;6.0;5.6167;-5.6167
335;בזכויות;2.0;1.0755;6.0;6.6896;-5.6141000000000005
4776;פעמונים;2.0;1.1629;6.0;6.7715999999999985;-5.608699999999999
4637;סנפירים;2.0;1.1377;6.0;6.744300000000001;-5.606600000000001
2131;הקשורים;2.0;1.7732000000000003;6.0;7.356900000000001;-5.583700000000001
1888;העגילים;2.0;0.2;6.0;5.7708;-5.5708
341;בחומרים;2.0;0.6833;6.0;6.2406;-5.5573
4127;מסרונים;2.0;0.917;6.0;6.4662000000000015;-5.549200000000002
3522;לשנתיים;2.0;1.5181;6.0;7.0655;-5.5474
4131;מסתגלים;2.0;2.5231000000000003;6.0;8.0701;-5.547
4624;סכסוכים;2.0;0.2807;6.0;5.822800000000001;-5.5421000000000005
2892;ייסורים;2.0;1.4826;6.0;7.0192999999999985;-5.536699999999999
3746;מהנדסים;2.0;0.7966;6.0;6.3298000000000005;-5.533200000000001
1922;העלונים;2.0;2.5851;6.0;8.116299999999999;-5.531199999999998
4608;סיכונים;2.0;2.5611000000000006;6.0;8.0709;-5.509799999999999
349;בחסינות;2.0;0.5492;6.0;6.0482999999999985;-5.4990999999999985
2624;וירוסים;2.0;1.9180000000000001;6.0;7.415699999999998;-5.497699999999998
4628;סלוניים;2.0;1.5995;6.0;7.088300000000001;-5.488800000000001
4066;ממקורות;2.0;1.204;6.0;6.6843;-5.480300000000001
813;דמיונית;2.0;1.4943;6.0;6.974500000000001;-5.480200000000001
2827;חשבונות;2.0;1.9265000000000003;6.0;7.404499999999999;-5.477999999999998
4701;ערבויות;2.0;0.5585;6.0;6.0351;-5.4765999999999995
733;בתמונות;2.0;1.0285;6.0;6.501299999999999;-5.4727999999999986
3352;לממונים;2.0;1.6054000000000002;6.0;7.077299999999998;-5.471899999999998
1051;הדבורים;2.0;1.6977;6.0;7.1654;-5.4677
5020;שדורשים;2.0;0.7109;6.0;6.178300000000003;-5.467400000000003
610;בצהריים;2.0;0.41700000000000004;6.0;5.8794;-5.462400000000001
4685;עלבונות;2.0;0.9644;6.0;6.4159000000000015;-5.451500000000001
1084;ההגינות;2.0;1.2229;6.0;6.6744;-5.4515
3964;מטיילים;2.0;1.3005;6.0;6.7491;-5.448600000000001
3947;מחרבנים;2.0;1.5701;6.0;7.0169;-5.4468
2929;כישורים;2.0;1.2507;6.0;6.6899;-5.4392
1064;הדייטים;2.0;2.1283;6.0;7.5622;-5.4338999999999995
3254;לחזירים;2.0;0.7229;6.0;6.1441;-5.4212
5189;שחוקרים;2.0;1.5322;6.0;6.952799999999999;-5.4205999999999985
2498;ובחורות;2.0;0.634;6.0;6.0526;-5.4186
3097;לדבורים;2.0;0.5;6.0;5.9127;-5.4127
2924;כיוונים;2.0;2.204;6.0;7.6161;-5.412100000000001
1400;הכפריים;2.0;0.8699999999999999;6.0;6.280200000000002;-5.4102000000000015
454;במהירות;2.0;1.0755;6.0;6.485200000000002;-5.409700000000002
4119;מסיירים;2.0;2.0598;6.0;7.4642;-5.4044
1744;הנבחרים;2.0;0.5585;6.0;5.9579;-5.3994
423;בכלובים;2.0;0.8807;6.0;6.260000000000002;-5.3793000000000015
1401;הכרויות;2.0;2.1021;6.0;7.4803;-5.3782
4253;מקדישים;2.0;1.0622;6.0;6.431400000000001;-5.369200000000001
957;האתגרים;2.0;0.9109;6.0;6.2772000000000014;-5.366300000000002
3574;מאכילים;2.0;1.0699999999999998;6.0;6.4274;-5.3574
4819;צעצועים;2.0;1.4918;6.0;6.849100000000003;-5.357300000000002
760;גידולים;2.0;1.4003;6.0;6.7563;-5.356
2881;יהודיים;2.0;1.2907;6.0;6.6449000000000025;-5.354200000000002
4567;סבלניים;2.0;0.7;6.0;6.041000000000001;-5.341000000000001
4805;צוללנים;2.0;1.3262;6.0;6.6641;-5.3379
1296;הטפילים;2.0;1.1257;6.0;6.457600000000001;-5.331900000000001
4662;עדכונים;2.0;0.6585;6.0;5.989;-5.3305
