target;fixation;entropy
aaaaaah;6.0;1.0065
aaaargh;6.0;0.29819999999999997
aaliyah;6.0;0.9867000000000001
abaddon;6.0;0.8962
abalone;6.0;1.4686
abandon;6.0;2.1898000000000004
abdomen;6.0;1.4083999999999999
abetted;6.0;2.2349
abiding;6.0;5.2835
abigail;6.0;1.1320000000000001
abilene;6.0;2.0503
ability;6.0;2.4642999999999997
abolish;6.0;1.4816
aborted;6.0;3.4215999999999993
abraham;6.0;2.1736999999999993
abreast;6.0;1.9489
abruzzi;6.0;0.5991000000000001
abscess;6.0;2.7875
absence;6.0;2.3135000000000003
absolve;6.0;1.5814
absorbs;6.0;0.5981
abstain;6.0;1.8390999999999997
abusers;6.0;2.8174
abusing;6.0;3.9688000000000003
abusive;6.0;1.5456999999999999
abysmal;6.0;0.7655000000000001
academy;6.0;0.5952
accents;6.0;1.5567
accepts;6.0;0.8733000000000001
acclaim;6.0;2.4732
accords;6.0;0.3761000000000001
account;6.0;0.9619
accused;6.0;4.0367
accuser;6.0;3.8578
accuses;6.0;3.1811000000000003
acetate;6.0;2.1345
acetone;6.0;0.9884999999999999
aceveda;6.0;0.9064000000000002
acharya;6.0;0.8737
achieve;6.0;0.40249999999999997
achille;6.0;2.3135
achtung;6.0;1.2017000000000002
acidity;6.0;1.0681
ackroyd;6.0;0.0
acquire;6.0;3.070099999999999
acreage;6.0;1.7082000000000002
acrobat;6.0;1.0404
acronym;6.0;0.0
acrylic;6.0;1.1972999999999998
actions;6.0;3.7250000000000005
actress;6.0;2.8568999999999996
acutely;6.0;1.705
adalind;6.0;1.6773
adamant;6.0;2.0475000000000003
adamson;6.0;2.6457000000000006
adapted;6.0;4.286499999999999
addicts;6.0;1.6207
addison;6.0;3.3880000000000003
address;6.0;1.8937999999999995
adebisi;6.0;0.09459999999999999
adelina;6.0;2.9254
adeline;6.0;2.4903000000000004
adhered;6.0;3.181
adjourn;6.0;1.6388999999999996
adjusts;6.0;1.9842
admiral;6.0;2.6239000000000003
admired;6.0;2.7491
admirer;6.0;2.6123000000000003
admires;6.0;4.3008
adolphe;6.0;0.30770000000000003
adopted;6.0;3.7687
adoring;6.0;5.196300000000001
adorned;6.0;2.014
adrenal;6.0;1.6957
adriana;6.0;3.103300000000001
adriano;6.0;2.2671
advance;6.0;1.6488
adverse;6.0;1.6782
adverts;6.0;1.7349
advices;6.0;2.4693000000000005
advised;6.0;3.8549999999999995
adviser;6.0;2.0337
advises;6.0;2.3013000000000003
advisor;6.0;1.0974
aerobic;6.0;0.2935
aerosol;6.0;1.2573
affable;6.0;1.2644999999999997
affairs;6.0;0.9125
affects;6.0;2.0382
affleck;6.0;2.5799999999999996
affords;6.0;0.8721
affraid;6.0;1.4332999999999998
affront;6.0;2.4214999999999995
afghani;6.0;1.6676000000000002
afghans;6.0;2.272
african;6.0;3.2037
against;6.0;1.5197
agarwal;6.0;2.4556999999999998
ageless;6.0;2.5412999999999997
agendas;6.0;0.8388
agility;6.0;2.6087000000000002
agitate;6.0;2.1872
agonies;6.0;4.6041
agrippa;6.0;0.25620000000000004
aground;6.0;1.7288000000000001
aguilar;6.0;0.8527999999999999
aguirre;6.0;0.5184
agustin;6.0;2.0446
ahhhhhh;6.0;0.0
ahjumma;6.0;0.40570000000000006
ahjussi;6.0;0.2121
aicohoi;6.0;1.0238
ailment;6.0;3.2529999999999992
aimless;6.0;1.9897999999999996
ainsley;6.0;3.8571999999999997
airbags;6.0;0.5838
airbase;6.0;1.0053999999999998
airfare;6.0;2.6115000000000004
airhead;6.0;2.1962
airlift;6.0;0.9019
airline;6.0;3.3086999999999995
airlock;6.0;3.1295999999999995
airport;6.0;1.1543
airship;6.0;1.557
airtime;6.0;2.1099
airways;6.0;2.0791
akiyama;6.0;1.0210000000000001
alabama;6.0;0.6992999999999999
aladdin;6.0;0.6638
alaikum;6.0;2.0533
alameda;6.0;0.6684000000000001
alamein;6.0;1.7093
alarcon;6.0;1.3311
alarmed;6.0;2.9283
alaskan;6.0;1.0744
alaykum;6.0;1.6629999999999998
albania;6.0;2.0901
alberta;6.0;1.7711
alberti;6.0;1.3546999999999998
alberto;6.0;2.6290000000000004
alcazar;6.0;2.1883999999999997
alchemy;6.0;0.6327999999999999
alcmene;6.0;2.3079
alcohol;6.0;1.0234
aldrich;6.0;1.6623999999999999
aleikum;6.0;1.3177999999999996
aleksei;6.0;0.5256000000000001
alerted;6.0;2.6619
aleykum;6.0;1.1652
alfalfa;6.0;0.7987
alfonse;6.0;1.5549999999999997
alfonso;6.0;0.8077000000000002
alfredo;6.0;0.38630000000000003
algebra;6.0;1.1942
algeria;6.0;2.7967
algiers;6.0;0.9739000000000001
aliases;6.0;3.0620999999999996
aligned;6.0;2.483599999999999
alimony;6.0;1.4398
alittle;6.0;2.6583
alleged;6.0;1.1272000000000002
alleges;6.0;3.1729
allegra;6.0;1.2686
allegro;6.0;0.18480000000000002
allenby;6.0;0.4102
allende;6.0;0.9853
allergy;6.0;0.6655999999999999
allison;6.0;2.3722000000000003
allowed;6.0;0.9394
allyson;6.0;2.7209000000000003
almanac;6.0;0.13640000000000002
almeida;6.0;1.2621
almonds;6.0;1.1164
already;6.0;0.4315999999999999
alright;6.0;1.5337
altered;6.0;3.6996
altmann;6.0;1.9845
alucard;6.0;1.7294999999999998
alumnus;6.0;1.1354
alvarez;6.0;2.404
alyosha;6.0;1.1086
amadeus;6.0;0.976
amalgam;6.0;2.3131
amamiya;6.0;0.8067999999999997
amantha;6.0;1.0524
amassed;6.0;2.7079
amateur;6.0;0.9565999999999999
amazing;6.0;3.5748999999999995
amazons;6.0;1.8898000000000004
ambient;6.0;2.7634
ambrose;6.0;1.1591
amended;6.0;3.1677
america;6.0;0.9571999999999999
amherst;6.0;1.4785
amiable;6.0;1.8345999999999996
amidala;6.0;2.4898000000000002
amitabh;6.0;0.7648999999999999
ammonia;6.0;2.4455999999999998
amnesia;6.0;1.6078
amnesty;6.0;2.5918
amongst;6.0;0.35439999999999994
amorous;6.0;2.0866000000000002
amounts;6.0;1.1823000000000001
amphora;6.0;0.7197
amplify;6.0;1.8599
amputee;6.0;1.8108
amulets;6.0;2.0383999999999998
amusing;6.0;4.64
anagram;6.0;2.1920999999999995
anaheim;6.0;0.9088
analogy;6.0;1.4038
analyse;6.0;0.6146
analyst;6.0;1.3348
analyze;6.0;0.0381
anamika;6.0;1.4103999999999999
anarchy;6.0;1.5687000000000002
anasazi;6.0;0.0
anatole;6.0;1.6832999999999998
anatoli;6.0;0.4873
anatoly;6.0;1.3174
anatomy;6.0;1.0032999999999999
anchors;6.0;2.8076
anchovy;6.0;0.3437
ancient;6.0;1.9785999999999997
andiamo;6.0;0.3762
andover;6.0;1.9834999999999998
andrade;6.0;1.4139000000000002
andreas;6.0;1.5667000000000002
andrews;6.0;1.0158
android;6.0;1.5716
andrzej;6.0;0.8380000000000001
anemone;6.0;2.0101
angeles;6.0;2.0933
angelic;6.0;1.0507000000000002
angelus;6.0;0.6317
angered;6.0;3.3196
anglais;6.0;0.9998000000000001
angling;6.0;4.3241
angrier;6.0;4.091900000000001
angrily;6.0;1.8119
anguish;6.0;2.6038
angular;6.0;2.244
animals;6.0;1.7439
animate;6.0;2.6010999999999997
aniston;6.0;2.3888
anklets;6.0;3.0529
annabel;6.0;2.0109999999999997
annette;6.0;3.4041999999999994
annexed;6.0;1.7084
annoyed;6.0;3.5888
annuity;6.0;2.1837
anomaly;6.0;0.9202000000000001
another;6.0;2.8370999999999995
anselmo;6.0;0.42460000000000003
answers;6.0;4.4979
antacid;6.0;1.0916000000000001
antares;6.0;4.1524
antenna;6.0;2.3545
anthill;6.0;1.8872
anthony;6.0;0.6753
anthrax;6.0;0.49450000000000005
antigua;6.0;0.6935
antioch;6.0;0.6845000000000001
antipas;6.0;0.9075
antique;6.0;1.7267
antlers;6.0;3.4086
antoine;6.0;4.0436
antonia;6.0;2.4857
antonin;6.0;2.1061
antonio;6.0;1.1388
antwerp;6.0;1.4879
anushka;6.0;0.7452000000000001
anxiety;6.0;0.7361
anxious;6.0;2.0909
anybody;6.0;1.1364000000000003
anymore;6.0;1.3503
anythin;6.0;1.5107
anytime;6.0;1.8418999999999996
anyways;6.0;1.4563000000000001
aoshima;6.0;1.8349999999999997
apaches;6.0;4.1944
aphasia;6.0;1.3276
aplenty;6.0;1.3893
apology;6.0;1.5137000000000005
apophis;6.0;3.1588000000000003
apostle;6.0;2.0608
apparel;6.0;1.7948999999999997
appeals;6.0;1.9149999999999998
appears;6.0;1.0408
appease;6.0;1.6021999999999998
appetit;6.0;0.6282
applaud;6.0;1.2489
appleby;6.0;0.6107
applied;6.0;2.3651
applies;6.0;3.6950000000000003
appoint;6.0;2.1325999999999996
approve;6.0;1.2577999999999998
apricot;6.0;0.8051
apropos;6.0;1.8049
aqualad;6.0;0.5212
aquaman;6.0;1.8456
aquatic;6.0;2.8841
aquinas;6.0;2.4303
arabian;6.0;2.1619
aragorn;6.0;2.1913
aramaic;6.0;1.2638
arastoo;6.0;0.9462999999999999
aravind;6.0;1.9305999999999996
arbiter;6.0;3.0751
arcades;6.0;2.5731
