,epoch,f2mean_neg,f2mean_pos,f6mean_neg,f6mean_pos,f2error_neg,f2error_pos,f6error_neg,f6error_pos
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,30.0,0.07,0.1,0.04,0.0,0.03,0.0,0.0,0.0
7,35.0,0.11000000000000001,0.14,0.05,0.0,0.030000000000000006,0.03999999999999999,0.009999999999999997,0.0
8,40.0,0.21,0.19,0.08,0.04,0.03,0.03,0.0,0.0
9,45.0,0.2,0.19,0.1,0.03,0.03999999999999999,0.03,0.019999999999999993,0.01
10,50.0,0.21000000000000002,0.21000000000000002,0.13,0.04,0.07,0.05,0.010000000000000009,0.0
11,55.0,0.19,0.23,0.13,0.04,0.010000000000000009,0.05000000000000002,0.010000000000000009,0.0
12,60.0,0.2,0.25,0.16,0.04,0.0,0.030000000000000013,0.01999999999999999,0.02
13,65.0,0.2,0.27,0.16999999999999998,0.04,0.03999999999999999,0.05,0.009999999999999995,0.02
14,70.0,0.21,0.23,0.16999999999999998,0.05,0.03,0.05000000000000002,0.009999999999999995,0.03
15,75.0,0.21000000000000002,0.24000000000000002,0.15,0.04,0.009999999999999995,0.04000000000000001,0.03,0.02
16,80.0,0.22,0.26,0.13,0.05,0.01999999999999999,0.020000000000000018,0.03,0.009999999999999997
17,85.0,0.22,0.27,0.15,0.05,0.01999999999999999,0.03,0.03,0.009999999999999997
18,90.0,0.22,0.29000000000000004,0.15,0.06,0.01999999999999999,0.009999999999999981,0.03,0.0
19,95.0,0.22,0.29000000000000004,0.15,0.07,0.04000000000000001,0.009999999999999981,0.03,0.010000000000000002
20,100.0,0.25,0.29000000000000004,0.14,0.09,0.030000000000000013,0.009999999999999981,0.020000000000000004,0.010000000000000002
21,105.0,0.26,0.29000000000000004,0.12,0.1,0.020000000000000018,0.009999999999999981,0.04,0.0
22,110.0,0.31,0.29000000000000004,0.13,0.11,0.010000000000000009,0.009999999999999981,0.010000000000000009,0.009999999999999995
23,115.0,0.32,0.33,0.15000000000000002,0.13,0.03999999999999998,0.010000000000000009,0.009999999999999995,0.03
24,120.0,0.34,0.33,0.12000000000000001,0.19,0.06,0.010000000000000009,0.020000000000000004,0.03
25,125.0,0.38,0.29000000000000004,0.14,0.28,0.020000000000000018,0.009999999999999981,0.020000000000000004,0.01999999999999999
26,130.0,0.4,0.32,0.13,0.28,0.01999999999999999,0.020000000000000018,0.03,0.04000000000000001
27,135.0,0.42000000000000004,0.37,0.13,0.35,0.01999999999999999,0.04999999999999999,0.010000000000000009,0.05
28,140.0,0.44,0.33999999999999997,0.13,0.4,0.03999999999999998,0.04000000000000001,0.010000000000000009,0.0
29,145.0,0.45999999999999996,0.33999999999999997,0.14,0.48,0.04000000000000001,0.04000000000000001,0.0,0.060000000000000026
30,150.0,0.48,0.33999999999999997,0.16,0.48,0.060000000000000026,0.04000000000000001,0.01999999999999999,0.01999999999999999
31,155.0,0.47,0.35,0.18,0.49,0.03,0.05,0.020000000000000004,0.05
32,160.0,0.5,0.36,0.18,0.54,0.04000000000000001,0.04000000000000001,0.020000000000000004,0.06
33,165.0,0.53,0.35,0.18,0.5,0.04999999999999999,0.05,0.0,0.04000000000000001
34,170.0,0.5,0.37,0.18,0.56,0.020000000000000018,0.03,0.020000000000000004,0.06
35,175.0,0.54,0.38,0.18,0.53,0.03999999999999998,0.020000000000000018,0.020000000000000004,0.010000000000000009
36,180.0,0.51,0.37,0.19,0.56,0.010000000000000009,0.010000000000000009,0.03,0.03999999999999998
37,185.0,0.5,0.39,0.15000000000000002,0.58,0.09999999999999998,0.010000000000000009,0.009999999999999995,0.0
38,190.0,0.53,0.38,0.16999999999999998,0.6,0.04999999999999999,0.0,0.05,0.0
39,195.0,0.55,0.39,0.18,0.6,0.02999999999999997,0.010000000000000009,0.03999999999999999,0.020000000000000018
40,200.0,0.54,0.38,0.16999999999999998,0.62,0.03999999999999998,0.0,0.06999999999999999,0.0
