,epoch,f2mean_neg,f2mean_pos,f6mean_neg,f6mean_pos,f2error_neg,f2error_pos,f6error_neg,f6error_pos
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,30.0,0.03,0.06,0.02,0.02,0.01,0.0,0.0,0.0
7,35.0,0.08,0.1,0.08,0.1,0.020000000000000004,0.0,0.020000000000000004,0.0
8,40.0,0.12000000000000001,0.14,0.14,0.16,0.020000000000000004,0.0,0.03999999999999999,0.08
9,45.0,0.13,0.18,0.17,0.13,0.010000000000000009,0.03999999999999999,0.03,0.049999999999999996
10,50.0,0.1,0.22999999999999998,0.15,0.17,0.019999999999999993,0.009999999999999995,0.03,0.03
11,55.0,0.09,0.23,0.21000000000000002,0.18,0.010000000000000002,0.03,0.009999999999999995,0.0
12,60.0,0.1,0.28,0.21000000000000002,0.15000000000000002,0.0,0.01999999999999999,0.009999999999999995,0.009999999999999995
13,65.0,0.09,0.25,0.24,0.09,0.010000000000000002,0.010000000000000009,0.020000000000000004,0.010000000000000002
14,70.0,0.11,0.25,0.21000000000000002,0.13,0.009999999999999995,0.030000000000000013,0.009999999999999995,0.03
15,75.0,0.12,0.28,0.21000000000000002,0.12000000000000001,0.0,0.01999999999999999,0.009999999999999995,0.020000000000000004
16,80.0,0.14,0.31000000000000005,0.21000000000000002,0.12000000000000001,0.0,0.03,0.009999999999999995,0.020000000000000004
17,85.0,0.12000000000000001,0.29000000000000004,0.18,0.13,0.020000000000000004,0.05,0.020000000000000004,0.010000000000000009
18,90.0,0.12,0.29000000000000004,0.2,0.14,0.0,0.05,0.020000000000000004,0.020000000000000004
19,95.0,0.16,0.28,0.19,0.15000000000000002,0.01999999999999999,0.04000000000000001,0.03,0.009999999999999995
20,100.0,0.2,0.27,0.18,0.16,0.020000000000000004,0.05,0.06,0.0
21,105.0,0.24000000000000002,0.29000000000000004,0.2,0.2,0.04000000000000001,0.05,0.03999999999999999,0.020000000000000004
22,110.0,0.26,0.31000000000000005,0.2,0.26,0.06,0.03,0.03999999999999999,0.0
23,115.0,0.29,0.32,0.21000000000000002,0.33,0.06999999999999999,0.03999999999999998,0.05,0.010000000000000009
24,120.0,0.33,0.35,0.19,0.35,0.07,0.009999999999999981,0.04999999999999999,0.009999999999999981
25,125.0,0.36,0.35,0.21000000000000002,0.42000000000000004,0.04000000000000001,0.05,0.009999999999999995,0.01999999999999999
26,130.0,0.38,0.36,0.21,0.43,0.020000000000000018,0.04000000000000001,0.03,0.010000000000000009
27,135.0,0.43,0.39,0.18,0.44999999999999996,0.010000000000000009,0.03,0.020000000000000004,0.03
28,140.0,0.45,0.38,0.22,0.48,0.010000000000000009,0.020000000000000018,0.01999999999999999,0.01999999999999999
29,145.0,0.45,0.39,0.2,0.54,0.010000000000000009,0.03,0.020000000000000004,0.03999999999999998
30,150.0,0.47,0.4,0.22,0.56,0.009999999999999981,0.01999999999999999,0.01999999999999999,0.03999999999999998
31,155.0,0.47,0.4,0.22,0.56,0.009999999999999981,0.01999999999999999,0.0,0.03999999999999998
32,160.0,0.52,0.41000000000000003,0.21000000000000002,0.5800000000000001,0.040000000000000036,0.009999999999999981,0.009999999999999995,0.03999999999999998
33,165.0,0.52,0.42000000000000004,0.22999999999999998,0.61,0.020000000000000018,0.01999999999999999,0.009999999999999995,0.030000000000000023
34,170.0,0.56,0.41000000000000003,0.21000000000000002,0.6,0.06,0.05,0.009999999999999995,0.020000000000000018
35,175.0,0.55,0.39,0.24,0.62,0.02999999999999997,0.03,0.0,0.020000000000000018
36,180.0,0.5700000000000001,0.42,0.22,0.65,0.04999999999999999,0.06,0.0,0.030000000000000023
37,185.0,0.54,0.42000000000000004,0.22,0.62,0.020000000000000018,0.04000000000000001,0.01999999999999999,0.0
38,190.0,0.5700000000000001,0.43,0.25,0.65,0.04999999999999999,0.04999999999999999,0.010000000000000009,0.010000000000000009
39,195.0,0.56,0.45,0.22,0.64,0.03999999999999998,0.04999999999999999,0.01999999999999999,0.0
40,200.0,0.5800000000000001,0.41000000000000003,0.24,0.66,0.03999999999999998,0.03,0.020000000000000004,0.020000000000000018
