,epoch,f2mean_neg,f2mean_pos,f6mean_neg,f6mean_pos,f2error_neg,f2error_pos,f6error_neg,f6error_pos
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,25.0,0.01,0.05,0.0,0.0,0.01,0.03,0.0,0.0
6,30.0,0.12000000000000001,0.09,0.0,0.0,0.020000000000000004,0.010000000000000002,0.0,0.0
7,35.0,0.24000000000000002,0.12000000000000001,0.01,0.02,0.04000000000000001,0.020000000000000004,0.01,0.0
8,40.0,0.25,0.14,0.03,0.0,0.04999999999999999,0.0,0.01,0.0
9,45.0,0.32999999999999996,0.19,0.01,0.04,0.03,0.03,0.01,0.02
10,50.0,0.33999999999999997,0.2,0.02,0.0,0.07999999999999997,0.0,0.02,0.0
11,55.0,0.36,0.23,0.03,0.01,0.01999999999999999,0.03,0.03,0.01
12,60.0,0.37,0.24000000000000002,0.02,0.01,0.04999999999999999,0.04000000000000001,0.02,0.01
13,65.0,0.39,0.23,0.03,0.01,0.04999999999999999,0.05000000000000002,0.03,0.01
14,70.0,0.4,0.21000000000000002,0.04,0.0,0.04000000000000001,0.07,0.02,0.0
15,75.0,0.41000000000000003,0.23,0.04,0.0,0.009999999999999981,0.05000000000000002,0.02,0.0
16,80.0,0.39,0.25,0.03,0.0,0.03,0.04999999999999999,0.01,0.0
17,85.0,0.46,0.23,0.03,0.0,0.0,0.03,0.01,0.0
18,90.0,0.5,0.21,0.03,0.01,0.020000000000000018,0.03,0.01,0.01
19,95.0,0.55,0.29,0.03,0.01,0.010000000000000009,0.06999999999999999,0.01,0.01
20,100.0,0.59,0.3,0.02,0.0,0.010000000000000009,0.06,0.0,0.0
21,105.0,0.62,0.30000000000000004,0.03,0.0,0.040000000000000036,0.04000000000000001,0.01,0.0
22,110.0,0.66,0.31000000000000005,0.03,0.01,0.0,0.03,0.01,0.01
23,115.0,0.66,0.31000000000000005,0.05,0.03,0.020000000000000018,0.03,0.009999999999999997,0.01
24,120.0,0.67,0.33999999999999997,0.05,0.03,0.010000000000000009,0.01999999999999999,0.009999999999999997,0.01
25,125.0,0.7,0.34,0.03,0.06,0.019999999999999962,0.0,0.01,0.02
26,130.0,0.68,0.36,0.03,0.08,0.0,0.01999999999999999,0.01,0.0
27,135.0,0.7,0.37,0.04,0.08,0.0,0.03,0.0,0.0
28,140.0,0.71,0.39,0.03,0.09,0.010000000000000009,0.03,0.01,0.010000000000000002
29,145.0,0.73,0.4,0.05,0.1,0.010000000000000009,0.01999999999999999,0.009999999999999997,0.019999999999999993
30,150.0,0.73,0.42000000000000004,0.05,0.12000000000000001,0.010000000000000009,0.04000000000000001,0.03,0.020000000000000004
31,155.0,0.74,0.39,0.05,0.12000000000000001,0.0,0.03,0.009999999999999997,0.020000000000000004
32,160.0,0.74,0.44,0.05,0.14,0.020000000000000018,0.06,0.03,0.0
33,165.0,0.75,0.43,0.05,0.15000000000000002,0.010000000000000009,0.04999999999999999,0.009999999999999997,0.009999999999999995
34,170.0,0.77,0.44999999999999996,0.05,0.16,0.010000000000000009,0.03,0.009999999999999997,0.04000000000000001
35,175.0,0.78,0.44,0.07,0.18,0.020000000000000018,0.020000000000000018,0.03,0.020000000000000004
36,180.0,0.79,0.43,0.07,0.21000000000000002,0.02999999999999997,0.04999999999999999,0.03,0.009999999999999995
37,185.0,0.79,0.47,0.04,0.2,0.010000000000000009,0.03,0.02,0.020000000000000004
38,190.0,0.78,0.45999999999999996,0.06,0.21000000000000002,0.020000000000000018,0.04000000000000001,0.02,0.009999999999999995
39,195.0,0.82,0.45,0.05,0.22999999999999998,0.0,0.07,0.03,0.009999999999999995
40,200.0,0.79,0.46,0.06,0.22,0.010000000000000009,0.06,0.02,0.0
