,epoch,f2mean_neg,f2mean_pos,f6mean_neg,f6mean_pos,f2error_neg,f2error_pos,f6error_neg,f6error_pos
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,30.0,0.0,0.05,0.02,0.0,0.0,0.03,0.02,0.0
7,35.0,0.02,0.1,0.02,0.04,0.02,0.019999999999999993,0.0,0.02
8,40.0,0.01,0.16,0.02,0.06,0.01,0.01999999999999999,0.0,0.0
9,45.0,0.03,0.22,0.05,0.09,0.03,0.04000000000000001,0.009999999999999997,0.03
10,50.0,0.05,0.25,0.01,0.06,0.03,0.010000000000000009,0.01,0.02
11,55.0,0.06,0.22,0.03,0.08,0.02,0.01999999999999999,0.01,0.0
12,60.0,0.05,0.27,0.04,0.09000000000000001,0.03,0.010000000000000009,0.02,0.05
13,65.0,0.06999999999999999,0.26,0.04,0.1,0.049999999999999996,0.020000000000000018,0.0,0.04000000000000001
14,70.0,0.060000000000000005,0.29000000000000004,0.04,0.08,0.04,0.009999999999999981,0.02,0.04
15,75.0,0.08,0.27,0.05,0.09000000000000001,0.04,0.03,0.03,0.05
16,80.0,0.11000000000000001,0.27,0.04,0.09000000000000001,0.030000000000000006,0.010000000000000009,0.02,0.05
17,85.0,0.1,0.31,0.03,0.09000000000000001,0.04000000000000001,0.010000000000000009,0.01,0.05
18,90.0,0.2,0.32,0.05,0.09000000000000001,0.03999999999999999,0.020000000000000018,0.03,0.05
19,95.0,0.29000000000000004,0.35,0.03,0.12000000000000001,0.009999999999999981,0.03,0.03,0.08
20,100.0,0.32999999999999996,0.36,0.05,0.14,0.03,0.01999999999999999,0.03,0.06
21,105.0,0.41000000000000003,0.36,0.03,0.17,0.009999999999999981,0.04000000000000001,0.01,0.08999999999999998
22,110.0,0.47,0.37,0.03,0.19,0.009999999999999981,0.010000000000000009,0.01,0.09000000000000001
23,115.0,0.55,0.37,0.05,0.22,0.02999999999999997,0.03,0.03,0.1
24,120.0,0.5900000000000001,0.41000000000000003,0.04,0.25,0.02999999999999997,0.009999999999999981,0.02,0.09000000000000001
25,125.0,0.63,0.43000000000000005,0.05,0.29000000000000004,0.010000000000000009,0.03,0.03,0.08999999999999998
26,130.0,0.68,0.46,0.05,0.33999999999999997,0.0,0.0,0.03,0.1
27,135.0,0.7,0.45,0.05,0.36,0.019999999999999962,0.04999999999999999,0.03,0.07999999999999997
28,140.0,0.72,0.45,0.060000000000000005,0.38,0.03999999999999998,0.010000000000000009,0.04,0.08000000000000002
29,145.0,0.72,0.45999999999999996,0.060000000000000005,0.44999999999999996,0.020000000000000018,0.01999999999999999,0.04,0.03
30,150.0,0.74,0.45999999999999996,0.07,0.44999999999999996,0.040000000000000036,0.01999999999999999,0.03,0.03
31,155.0,0.77,0.47,0.060000000000000005,0.44999999999999996,0.04999999999999999,0.009999999999999981,0.04,0.03
32,160.0,0.76,0.43,0.07,0.48,0.06,0.010000000000000009,0.03,0.04000000000000001
33,165.0,0.77,0.47,0.07,0.49,0.04999999999999999,0.009999999999999981,0.03,0.03
34,170.0,0.76,0.43000000000000005,0.07,0.5,0.06,0.03,0.03,0.04000000000000001
35,175.0,0.76,0.45999999999999996,0.07,0.55,0.040000000000000036,0.01999999999999999,0.03,0.04999999999999999
36,180.0,0.76,0.44,0.07,0.53,0.040000000000000036,0.0,0.03,0.030000000000000023
37,185.0,0.78,0.48,0.08,0.5700000000000001,0.03999999999999998,0.01999999999999999,0.04,0.04999999999999999
38,190.0,0.78,0.44999999999999996,0.07,0.55,0.03999999999999998,0.03,0.03,0.07
39,195.0,0.8,0.43,0.08,0.6100000000000001,0.06,0.010000000000000009,0.04,0.04999999999999999
40,200.0,0.8,0.47,0.07,0.6000000000000001,0.03999999999999998,0.009999999999999981,0.03,0.03999999999999998
