,epoch,f2mean_neg,f2mean_pos,f6mean_neg,f6mean_pos,f2error_neg,f2error_pos,f6error_neg,f6error_pos
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01
4,20.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01
5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,30.0,0.0,0.1,0.01,0.03,0.0,0.0,0.01,0.01
7,35.0,0.0,0.13,0.0,0.08,0.0,0.010000000000000009,0.0,0.020000000000000004
8,40.0,0.0,0.13,0.01,0.11,0.0,0.010000000000000009,0.01,0.009999999999999995
9,45.0,0.0,0.19,0.02,0.16,0.0,0.010000000000000009,0.02,0.01999999999999999
10,50.0,0.0,0.24,0.02,0.16,0.0,0.08,0.0,0.01999999999999999
11,55.0,0.0,0.25,0.02,0.16,0.0,0.07,0.0,0.06
12,60.0,0.0,0.24000000000000002,0.02,0.19,0.0,0.04000000000000001,0.02,0.03
13,65.0,0.0,0.23,0.02,0.18,0.0,0.08999999999999998,0.0,0.03999999999999999
14,70.0,0.0,0.26,0.03,0.21000000000000002,0.0,0.08000000000000002,0.01,0.07
15,75.0,0.0,0.28,0.03,0.22000000000000003,0.0,0.04000000000000001,0.01,0.06000000000000001
16,80.0,0.0,0.29000000000000004,0.03,0.22999999999999998,0.0,0.03,0.01,0.06999999999999999
17,85.0,0.02,0.28,0.05,0.23,0.02,0.01999999999999999,0.009999999999999997,0.05000000000000002
18,90.0,0.03,0.31,0.06,0.25,0.01,0.010000000000000009,0.02,0.030000000000000013
19,95.0,0.05,0.3,0.06,0.25,0.03,0.0,0.0,0.030000000000000013
20,100.0,0.09000000000000001,0.3,0.07,0.30000000000000004,0.05,0.0,0.010000000000000002,0.01999999999999999
21,105.0,0.16,0.32999999999999996,0.06,0.32,0.06,0.03,0.02,0.03999999999999998
22,110.0,0.19,0.31000000000000005,0.06,0.4,0.04999999999999999,0.03,0.02,0.04000000000000001
23,115.0,0.25,0.32,0.07,0.45999999999999996,0.09000000000000001,0.03999999999999998,0.010000000000000002,0.01999999999999999
24,120.0,0.37,0.32,0.08,0.44,0.08999999999999998,0.03999999999999998,0.020000000000000004,0.03999999999999998
25,125.0,0.43,0.31,0.07,0.51,0.04999999999999999,0.07,0.03,0.05
26,130.0,0.47,0.35,0.07,0.51,0.03,0.05,0.03,0.06999999999999998
27,135.0,0.54,0.35,0.08,0.53,0.0,0.06999999999999998,0.020000000000000004,0.06999999999999998
28,140.0,0.5700000000000001,0.35,0.060000000000000005,0.54,0.04999999999999999,0.03,0.04,0.07999999999999997
29,145.0,0.5800000000000001,0.36,0.08,0.5700000000000001,0.019999999999999962,0.01999999999999999,0.020000000000000004,0.04999999999999999
30,150.0,0.6000000000000001,0.37,0.08,0.5700000000000001,0.03999999999999998,0.03,0.020000000000000004,0.07
31,155.0,0.6000000000000001,0.36,0.08,0.5700000000000001,0.03999999999999998,0.04000000000000001,0.020000000000000004,0.04999999999999999
32,160.0,0.64,0.38,0.08,0.5900000000000001,0.040000000000000036,0.020000000000000018,0.020000000000000004,0.07
33,165.0,0.63,0.39,0.08,0.5800000000000001,0.050000000000000044,0.04999999999999999,0.0,0.08000000000000002
34,170.0,0.6499999999999999,0.39,0.08,0.6000000000000001,0.07,0.03,0.020000000000000004,0.06
35,175.0,0.6699999999999999,0.38,0.08,0.6100000000000001,0.04999999999999999,0.03999999999999998,0.020000000000000004,0.07
36,180.0,0.69,0.4,0.09,0.62,0.04999999999999999,0.01999999999999999,0.03,0.07999999999999996
37,185.0,0.71,0.37,0.07,0.63,0.04999999999999999,0.010000000000000009,0.010000000000000002,0.06999999999999994
38,190.0,0.73,0.44,0.11,0.61,0.030000000000000023,0.020000000000000018,0.009999999999999995,0.08999999999999997
39,195.0,0.69,0.4,0.08,0.6499999999999999,0.04999999999999999,0.01999999999999999,0.020000000000000004,0.07
40,200.0,0.74,0.39,0.11,0.6499999999999999,0.020000000000000018,0.010000000000000009,0.009999999999999995,0.07
