;target;fixation_x;entropy_x;fixation_y;entropy_y;difference_entropy
3586;imaging;2.0;0.4289500000000001;6.0;5.375799999999997;-4.946849999999997
8098;yelling;2.0;0.39609999999999984;6.0;5.2576;-4.8615
8079;wyoming;2.0;0.31355000000000005;6.0;5.165349999999998;-4.851799999999998
280;apaches;2.0;0.2252;6.0;4.997750000000001;-4.772550000000001
8090;yapping;2.0;0.28379999999999994;6.0;4.9725;-4.6887
102;agonies;2.0;0.20835;6.0;4.891400000000001;-4.683050000000001
2325;eloping;2.0;0.5078500000000001;6.0;5.16375;-4.6559
4095;leering;2.0;0.68235;6.0;5.2982;-4.61585
4221;looping;2.0;0.29775;6.0;4.902700000000001;-4.604950000000001
7222;tapping;2.0;0.6457499999999999;6.0;5.2414999999999985;-4.595749999999999
8;abiding;2.0;0.5831499999999998;6.0;5.15725;-4.5741000000000005
2466;evening;2.0;0.3572500000000001;6.0;4.8794;-4.52215
7807;wailing;2.0;1.03625;6.0;5.507749999999999;-4.471499999999999
4699;mopping;2.0;0.7139500000000001;6.0;5.17835;-4.4643999999999995
6701;smiling;2.0;0.757;6.0;5.182349999999999;-4.425349999999999
7838;wanting;2.0;0.95495;6.0;5.33775;-4.3828
2741;foaming;2.0;1.06425;6.0;5.436749999999999;-4.372499999999999
6748;soiling;2.0;0.7775;6.0;5.1469;-4.3694
4605;milling;2.0;1.1256;6.0;5.442249999999999;-4.316649999999999
3427;hinting;2.0;1.25355;6.0;5.565;-4.311450000000001
8121;yowling;2.0;0.7285499999999999;6.0;5.039249999999999;-4.310699999999999
3361;hedging;2.0;0.5801000000000001;6.0;4.8861;-4.306
6029;rioting;2.0;0.99885;6.0;5.280499999999999;-4.281649999999999
2876;funding;2.0;0.8666999999999998;6.0;5.133199999999999;-4.266499999999999
207;amusing;2.0;0.95425;6.0;5.20425;-4.25
2652;filling;2.0;1.2005499999999996;6.0;5.42165;-4.2211
5403;plckman;2.0;0.32485;6.0;4.50175;-4.176900000000001
3897;kiaiing;2.0;0.45245;6.0;4.622649999999998;-4.170199999999999
8110;yorkers;2.0;1.07575;6.0;5.242850000000002;-4.167100000000001
6737;soaking;2.0;0.54695;6.0;4.6855;-4.13855
2747;folding;2.0;1.4019;6.0;5.538349999999999;-4.13645
4723;mothers;2.0;0.52215;6.0;4.642099999999999;-4.119949999999999
2218;drilled;2.0;0.6702999999999998;6.0;4.786599999999999;-4.116299999999999
7535;tucking;2.0;0.7007000000000001;6.0;4.804350000000001;-4.103650000000001
4262;lugging;2.0;0.9995000000000004;6.0;5.0981000000000005;-4.0986
7909;welding;2.0;0.6771999999999999;6.0;4.77435;-4.09715
4527;meister;2.0;0.31799999999999995;6.0;4.3996499999999985;-4.081649999999999
3090;gouging;2.0;0.7607499999999999;6.0;4.839450000000001;-4.078700000000001
6611;sipping;2.0;0.8407500000000001;6.0;4.9167000000000005;-4.075950000000001
