;target;fixation_x;entropy_x;fixation_y;entropy_y;difference_entropy
3097;לדבורים;2.0;0.6713000000000001;6.0;6.61565;-5.944349999999999
819;דרקונים;2.0;0.4254;6.0;6.28505;-5.85965
3254;לחזירים;2.0;1.0195;6.0;6.825949999999999;-5.806449999999999
4637;סנפירים;2.0;0.2215;6.0;6.0227;-5.801200000000001
3439;לעשירים;2.0;1.2429;6.0;6.854899999999999;-5.611999999999999
2111;הקצינים;2.0;0.4431;6.0;6.0391;-5.596
1744;הנבחרים;2.0;1.14605;6.0;6.731500000000001;-5.585450000000002
4655;סרסורים;2.0;0.6569499999999999;6.0;6.22525;-5.5683
5476;תבלינים;2.0;0.1362;6.0;5.629899999999999;-5.4937
2528;וההורים;2.0;0.96715;6.0;6.451849999999999;-5.484699999999999
5496;תחתונים;2.0;0.4734999999999999;6.0;5.950500000000001;-5.477000000000001
5539;תרחישים;2.0;0.8850999999999999;6.0;6.34965;-5.46455
3623;מגדירים;2.0;0.7602;6.0;6.21885;-5.45865
1062;הדיונים;2.0;1.6950000000000005;6.0;7.1348499999999975;-5.439849999999997
4701;ערבויות;2.0;0.69885;6.0;6.11835;-5.4195
1182;הזיונים;2.0;0.6811499999999999;6.0;6.091749999999998;-5.410599999999999
2847;טיעונים;2.0;1.1383;6.0;6.5173000000000005;-5.3790000000000004
3530;לתיירים;2.0;0.6263000000000002;6.0;5.9589;-5.332599999999999
287;בגבולות;2.0;0.8949999999999999;6.0;6.2256;-5.3306000000000004
5189;שחוקרים;2.0;0.8329000000000001;6.0;6.138999999999999;-5.306099999999999
2793;חזיונות;2.0;0.21175;6.0;5.48835;-5.276599999999999
5507;תכנונים;2.0;0.5362;6.0;5.79915;-5.26295
3843;מומחיות;2.0;0.6034999999999999;6.0;5.85805;-5.25455
1339;הימורים;2.0;0.9111;6.0;6.12655;-5.21545
5529;תצהירים;2.0;0.16505;6.0;5.36285;-5.1978
4654;סרטונים;2.0;0.9780500000000002;6.0;6.164600000000001;-5.18655
2822;חניכיים;2.0;0.0;6.0;5.186250000000001;-5.186250000000001
5546;תשלומים;2.0;0.32535;6.0;5.510350000000002;-5.185000000000001
3453;לפעמיים;2.0;0.6127499999999999;6.0;5.774200000000001;-5.161450000000001
1188;הזעירים;2.0;0.61825;6.0;5.773950000000001;-5.155700000000001
4959;רעיונות;2.0;0.12625;6.0;5.27715;-5.1509
2804;חינניות;2.0;0.79155;6.0;5.939399999999999;-5.147849999999999
3681;מהגברים;2.0;1.4754000000000005;6.0;6.618600000000002;-5.143200000000001
4968;רשיונות;2.0;0.9287;6.0;6.0689;-5.1402
766;גלקסיות;2.0;0.19255;6.0;5.329949999999998;-5.137399999999999
3919;מזריקים;2.0;0.92385;6.0;6.04295;-5.1191
4776;פעמונים;2.0;0.27380000000000004;6.0;5.38855;-5.114750000000001
988;הביתיים;2.0;0.7608;6.0;5.86605;-5.105250000000001
3950;מטאורים;2.0;0.53775;6.0;5.642450000000001;-5.104700000000001
4569;סגנונות;2.0;0.2882;6.0;5.378749999999998;-5.090549999999999
5186;שזקוקים;2.0;0.18255;6.0;5.248050000000001;-5.065500000000001
4971;שאוכלים;2.0;0.6221499999999999;6.0;5.6807500000000015;-5.058600000000002
5525;תפקידים;2.0;1.5364999999999998;6.0;6.5935500000000005;-5.05705
3574;מאכילים;2.0;1.21005;6.0;6.264899999999999;-5.054849999999999
4629;סמכויות;2.0;0.29355;6.0;5.3476;-5.05405
1218;החזירים;2.0;1.5183;6.0;6.571149999999999;-5.052849999999999
1085;ההדורים;2.0;1.28995;6.0;6.339550000000001;-5.049600000000001
4662;עדכונים;2.0;0.20745;6.0;5.2569;-5.04945
2929;כישורים;2.0;0.7420000000000001;6.0;5.7829000000000015;-5.0409000000000015
4012;מכדורים;2.0;0.8977499999999999;6.0;5.936900000000001;-5.039150000000001
3469;לצעירים;2.0;1.12;6.0;6.13295;-5.01295
3300;ליצורים;2.0;1.3249;6.0;6.311250000000002;-4.986350000000002
2200;השדונים;2.0;0.79115;6.0;5.775400000000001;-4.984250000000001
1400;הכפריים;2.0;0.3622;6.0;5.322749999999999;-4.96055
2859;טלפונים;2.0;0.73005;6.0;5.6622;-4.93215
3082;לברכיים;2.0;0.6421000000000001;6.0;5.573400000000001;-4.931300000000001
2826;חרחורים;2.0;0.34535;6.0;5.2764000000000015;-4.931050000000002
1816;הנתונים;2.0;0.5343;6.0;5.46495;-4.93065
4557;נצחונות;2.0;0.22575;6.0;5.150899999999999;-4.9251499999999995
222;באזורים;2.0;1.1804;6.0;6.089600000000003;-4.909200000000003
3132;להמונים;2.0;1.30695;6.0;6.2092;-4.90225
3302;לכדורים;2.0;1.6247999999999998;6.0;6.522000000000001;-4.8972000000000016
4240;מציירים;2.0;1.21015;6.0;6.107100000000001;-4.89695
2957;כשדברים;2.0;0.5305500000000001;6.0;5.4141;-4.8835500000000005
4811;צימוקים;2.0;0.5274;6.0;5.40905;-4.88165
699;בשטויות;2.0;0.8282;6.0;5.6986500000000015;-4.870450000000002
1936;העצורים;2.0;1.5305500000000003;6.0;6.392550000000003;-4.862000000000002
4755;פליירים;2.0;2.0466;6.0;6.903299999999999;-4.856699999999998
4660;עגבניות;2.0;0.9661500000000002;6.0;5.818999999999997;-4.852849999999997
1389;הכלאיים;2.0;0.8939499999999999;6.0;5.7386;-4.84465
4802;צבעונים;2.0;1.2604;6.0;6.102750000000002;-4.842350000000002
1817;הנתיבים;2.0;0.34635;6.0;5.1793999999999984;-4.833049999999998
989;הבכירים;2.0;1.01915;6.0;5.8507;-4.83155
1328;היוצרים;2.0;1.6269999999999998;6.0;6.440250000000002;-4.813250000000002
4031;מכשולים;2.0;0.5271000000000001;6.0;5.3198500000000015;-4.792750000000002
778;גרעינים;2.0;0.9678000000000002;6.0;5.75045;-4.782649999999999
686;ברשימות;2.0;0.8049999999999999;6.0;5.57565;-4.770650000000001
2824;חסרונות;2.0;0.7229999999999999;6.0;5.4929000000000014;-4.769900000000002
2815;חלבונים;2.0;0.67245;6.0;5.4334;-4.760949999999999
722;בתולדות;2.0;0.7066;6.0;5.46735;-4.76075
4700;עקרונות;2.0;0.83415;6.0;5.578099999999999;-4.743949999999999
4653;סרדינים;2.0;1.03845;6.0;5.775200000000001;-4.736750000000001
768;געגועים;2.0;0.40175;6.0;5.13715;-4.7354
4567;סבלניים;2.0;0.6950999999999998;6.0;5.424549999999999;-4.729449999999999
3322;למגורים;2.0;0.95405;6.0;5.6814;-4.72735
335;בזכויות;2.0;0.7054;6.0;5.4284;-4.723
3031;לאזורים;2.0;1.1813;6.0;5.902000000000001;-4.720700000000001
4533;ניזונים;2.0;0.9233;6.0;5.644;-4.7207
2860;טמפונים;2.0;0.86005;6.0;5.5743;-4.71425
731;בתכניות;2.0;0.5279499999999999;6.0;5.237599999999999;-4.709649999999999
1072;הדפוקים;2.0;1.29635;6.0;6.0055000000000005;-4.709150000000001
4062;ממערכות;2.0;0.3036;6.0;5.012249999999999;-4.708649999999999
302;בדרישות;2.0;0.8160499999999999;6.0;5.523700000000002;-4.707650000000002
3930;מחזורים;2.0;0.99775;6.0;5.700300000000001;-4.702550000000001
4256;מקוונים;2.0;1.34615;6.0;6.03875;-4.6926000000000005
1380;הכופרים;2.0;1.35425;6.0;6.032800000000003;-4.678550000000003
2498;ובחורות;2.0;0.9682;6.0;5.64655;-4.67835
5184;שזורקים;2.0;0.3541;6.0;5.02725;-4.673150000000001
263;באשליות;2.0;0.8326999999999998;6.0;5.50515;-4.67245
5505;תיקונים;2.0;1.1994000000000002;6.0;5.8695;-4.6701
4570;סדרתיים;2.0;0.47485;6.0;5.139899999999999;-4.665049999999999
646;ברבורים;2.0;1.29765;6.0;5.960699999999999;-4.663049999999999
1401;הכרויות;2.0;1.00635;6.0;5.6678000000000015;-4.661450000000001
733;בתמונות;2.0;0.8065999999999999;6.0;5.46335;-4.656750000000001
3683;מהדברים;2.0;0.9609000000000002;6.0;5.609350000000001;-4.64845
769;גפרורים;2.0;0.9111999999999998;6.0;5.558250000000001;-4.647050000000001
1053;הדגימות;2.0;0.433;6.0;5.07315;-4.64015
2676;ולחברים;2.0;0.80765;6.0;5.43735;-4.629700000000001
2025;הצבאיים;2.0;0.58275;6.0;5.2075000000000005;-4.624750000000001
4530;נטלמנים;2.0;0.5001;6.0;5.1192;-4.6191
3283;ליומיים;2.0;0.98875;6.0;5.595700000000001;-4.606950000000001
858;האזורים;2.0;2.2706500000000003;6.0;6.8711;-4.60045
5207;שידורים;2.0;1.02605;6.0;5.6251000000000015;-4.599050000000002
2827;חשבונות;2.0;1.3658;6.0;5.963599999999999;-4.5977999999999986
3246;לזכויות;2.0;1.0737;6.0;5.6562;-4.5825
