target;fixation;entropy
אאוריקה;2.0;1.3498
אבותיהם;2.0;1.2217500000000001
אבותינו;2.0;1.6970000000000003
אביגייל;2.0;0.8424999999999999
אביזרים;2.0;1.0893
אבסורדי;2.0;0.1548
אגואיסט;2.0;0.6867
אגודלים;2.0;1.1340999999999997
אגרופים;2.0;0.6426999999999999
אגרסיבי;2.0;1.2750499999999998
אדוארדו;2.0;1.4527499999999998
אדוארדס;2.0;1.70985
אדווארד;2.0;2.0789
אדוורדס;2.0;1.6285
אדיוטים;2.0;2.4607499999999995
אדיוטית;2.0;2.2971999999999992
אדמונית;2.0;1.19495
אדריאנה;2.0;1.12135
אדרנלין;2.0;0.7696
אובייקט;2.0;3.0103
אובליקס;2.0;1.7426000000000001
אובססיה;2.0;1.5258000000000003
אובריאן;2.0;1.9846500000000007
אובריין;2.0;2.5518500000000004
אוגאקור;2.0;0.634
אודותיו;2.0;2.3642500000000006
אודותיך;2.0;1.8806500000000004
אודינוב;2.0;1.436
אווטרים;2.0;1.7034499999999997
אווירית;2.0;2.1205499999999993
אוורדין;2.0;1.5510000000000002
אוזוולד;2.0;0.8106
אוזניות;2.0;2.10465
אוזניים;2.0;2.4048999999999996
אוטובוס;2.0;1.9937999999999998
אוטומטי;2.0;1.65905
אוטופיה;2.0;1.5453499999999998
אויבינו;2.0;1.4599499999999999
אוייבים;2.0;1.08605
אוליביה;2.0;1.2333500000000002
אולימפי;2.0;1.0475
אומללות;2.0;1.7600999999999996
אומללים;2.0;2.4451000000000005
אומנותי;2.0;2.107
אונליין;2.0;0.8358500000000003
אונקיות;2.0;1.9161000000000001
אוסבורן;2.0;2.3006
אוסוולד;2.0;1.8678500000000002
אוסטריה;2.0;1.5476500000000002
אוסטרלי;2.0;2.0120499999999995
אופוסום;2.0;2.3299
אופוריה;2.0;0.6960000000000001
אופטימי;2.0;1.8753000000000004
אופייני;2.0;2.2256000000000005
אופנוען;2.0;1.3592500000000003
אופניים;2.0;2.3653000000000004
אופנתית;2.0;1.73215
אופציות;2.0;2.4966
אוקונור;2.0;1.2238
אוקטביה;2.0;2.0461000000000005
אוקטביו;2.0;2.3426
אוקטובר;2.0;1.8869999999999998
אורגזמה;2.0;1.8219999999999996
אורגנית;2.0;1.71545
אורחינו;2.0;1.62655
אוריילי;2.0;1.6025499999999997
אורלינס;2.0;2.3259500000000006
אורלנדו;2.0;1.4443499999999998
אורניום;2.0;1.77255
אורסולה;2.0;1.2018999999999997
אושוויץ;2.0;0.89875
אותנטית;2.0;1.0436999999999999
אזרחיות;2.0;1.2250000000000003
אזרחיים;2.0;1.2826500000000003
אחוריים;2.0;1.64525
אחורנית;2.0;1.30625
אחיותיי;2.0;1.864
אחיינית;2.0;1.6745
אחראיות;2.0;1.7058499999999992
אחראיים;2.0;2.2000999999999995
אחרונות;2.0;1.7117
אחרונים;2.0;1.9275999999999995
אחריותי;2.0;1.5634000000000001
אחריותך;2.0;2.0376499999999997
אטלנטיס;2.0;1.5004500000000005
אטלנטיק;2.0;1.3270000000000004
אטרופין;2.0;1.0966500000000001
איברהים;2.0;1.8145
איגנסיו;2.0;0.92865
אידיאלי;2.0;1.8344499999999997
